UAI,NOM_LONG,NOM_COURT,INSEE_COMMUNE,NOM_COMMUNE,CONTRAT,TEL,FAX,MAIL,CHEF,ADJOINT,GESTIONNAIRE,N_ZAP,N_SECTEUR,RRS,SEGPA,UPI,SECTION_INTERNATIONAL,SECTION_EURO,TECHNO,ENS_SPE,DATEOUVERTURE,DATEFERMETURE,EFFECTIF_ANNEE_2007,EFFECTIF_ANNEE_2008,EFFECTIF_ANNEE_2009,EFFECTIF_ANNEE_2010,EFFECTIF_ANNEE_2011,EFFECTIF_ANNEE_2012,EFFECTIF_ANNEE_2013,LONGITUDE,LATITUDE,LB_ADR_L1,LB_ADR_L2,LB_ADR_L3,LB_ADR_L4_1,LB_ADR_L4_2,LB_ADR_L4_3,LB_ADR_L4_COMPLET,LB_ADR_L5,LB_ADR_L6_1,LB_ADR_L6_2,LB_ADR_L7
0331524C,Collège Jean J.Lataste,Jean J.Lataste,33081,CADILLAC                              ,PRIVE,0556626775,0556626868,ce.0331524C@ac-bordeaux.fr,MONSIEUR JEAN MARIE LUCCHESI,,,06,0330602,,0,,,,,,05/04/1967,,148,160,138,133,126,150,153,-0.31439888,44.638393,COLLEGE JEAN J.LATASTE,,,3,,CHEMIN DE TOINETTE,,,33410,CADILLAC,FRANCE
0331528G,Collège Notre Dame,Notre Dame,33240,LESPARRE MEDOC                        ,PRIVE,0556733205,0556733207,ce.0331528G@ac-bordeaux.fr,MADAME VALÉRIE MONTALBANO,,,08,0330804,,0,,,,,,05/04/1967,,213,212,215,170,161,172,182,-0.93775624,45.30736,COLLEGE NOTRE DAME,,,14,,RUE DE L EGLISE,,,33340,LESPARRE MEDOC,FRANCE
0331531K,Collège Anglade Langalerie,Anglade Langalerie,33402,STE FOY LA GRANDE                     ,PRIVE,0557460312,0557462162,ce.0331531K@ac-bordeaux.fr,MADAME EVA MAILLE,,,04,0330412,,0,,,,,,05/04/1967,,197,187,181,149,174,174,183,0.21527767,44.84006,COLLEGE ANGLADE LANGALERIE,,,49,,RUE LOUIS PASTEUR,,,33220,STE FOY LA GRANDE,FRANCE
0331433D,Collège Pierre Martin,Pierre Martin,33350,RAUZAN                                ,PUBLIC,0557847350,0557847359,ce.0331433D@ac-bordeaux.fr,MADAME MOUTON BARRERE FRANÇOISE,,MADAME BERARD MARIELLE,04,0330411,,0,3,,,,,03/10/1966,,321,338,358,349,359,375,370,-0.12333931,44.777634,COLLEGE PIERRE MARTIN,,,1,,LE FAURE,,BP 2,33420,RAUZAN,FRANCE
0331461J,Collège Cassignol,Cassignol,33063,BORDEAUX                              ,PUBLIC,0556818025,0556813328,ce.0331461J@ac-bordeaux.fr,MONSIEUR BOUNAUD MICHEL,MONSIEUR CARBONNEAU ERIC,MADAME HUG NADIA,02,0330203,,0,,,,,,07/11/1967,,772,811,834,838,834,833,804,-0.58549064,44.85204,COLLEGE CASSIGNOL,,,62,,RUE LAROCHE,,,33000,BORDEAUX,FRANCE
0331490R,Collège Lestonnac,Lestonnac,33099,CARIGNAN DE BORDEAUX                  ,PRIVE,0556219470,0556683217,ce.0331490R@ac-bordeaux.fr,MONSIEUR FRANÇOIS BEGARDS,,,03,0330310,,0,,,,,,15/03/1967,,253,232,250,278,315,364,400,-0.4603117,44.82221,COLLEGE LESTONNAC,,,92,,ROUTE DE FARGUES,,,33360,CARIGNAN DE BORDEAUX,FRANCE
0331500B,Collège Notre Dame Sevigne,Notre Dame Sevigne,33522,TALENCE                               ,PRIVE,0556805551,0556809330,ce.0331500B@ac-bordeaux.fr,MONSIEUR LIONEL FRAIZE,,,05,0330507,,0,,,,,,15/03/1967,,421,413,403,444,448,435,463,-0.59156513,44.812313,COLLEGE NOTRE DAME SEVIGNE,,,36,,ALLEE DU 7E ART,,,33400,TALENCE,FRANCE
0330008E,Collège Jean Verdier,Jean Verdier,33019,AUDENGE                               ,PUBLIC,0557762828,0557762829,ce.0330008E@ac-bordeaux.fr,MADAME DUYCK-PINCHEDEZ CHRISTIANE,MADAME MARTINEAU GUILAINE,MADAME MAHIEU FRANÇOISE,09,0330904,,0,,,,,,01/05/1965,,521,517,514,519,539,560,544,-1.0056976,44.686153,COLLEGE JEAN VERDIER,,,,,RUE DES CIGALES,,,33980,AUDENGE,FRANCE
0330059K,Collège Anatole France,Anatole France,33081,CADILLAC                              ,PUBLIC,0556629842,0556626981,ce.0330059K@ac-bordeaux.fr,MONSIEUR DEBSKI FABRICE,MADAME CHAMPION LAURENCE,MADAME PIQUE DOROTHÉE,06,0330602,RRS,0,,,,,,01/05/1965,,579,617,652,674,699,695,682,-0.3066367,44.63049,COLLEGE ANATOLE FRANCE,,,28,,CHEMIN DES BARIES,,,33410,CADILLAC,FRANCE
0332569N,Collège Porte Du Médoc,Porte Du Médoc,33312,PAREMPUYRE                            ,PUBLIC,0556570925,0556356767,ce.0332569N@ac-bordeaux.fr,MONSIEUR GUISON PHILIPPE,MADAME JACOMET CATHERINE,MONSIEUR CLEMENS FABRICE,02,0330211,,0,,,,,,01/09/1982,,685,692,694,719,735,734,706,-0.5998434,44.947212,COLLEGE PORTE DU MEDOC,,,1,,AVENUE DES SPORTS,,,33290,PAREMPUYRE,FRANCE
0332705L,Collège Francois Mauriac,Francois Mauriac,33397,STE EULALIE                           ,PUBLIC,0556380706,0556069502,ce.0332705L@ac-bordeaux.fr,MADAME PHILIPPARIE CHANTAL,MADAME ARMENTIA CATHERINE,MADAME TAPIE VÉRONIQUE,03,0330314,,0,,,,,,01/09/1985,,404,438,449,456,462,448,428,-0.47281915,44.902683,COLLEGE FRANCOIS MAURIAC,,,,,RUE DU PR GEORGES PORTMAN,,,33560,STE EULALIE,FRANCE
0332743C,Collège Alienor d'Aquitaine,Alienor d'Aquitaine,33273,MARTIGNAS SUR JALLE                   ,PUBLIC,0556780727,0556786447,ce.0332743C@ac-bordeaux.fr,MADAME SALABERRY MARTINE,,MADAME LIEVAL CHRISTINE,07,0330701,,0,,,,,,01/09/1987,,367,391,406,397,407,417,427,-0.7812886,44.84622,COLLEGE ALIENOR D AQUITAINE,,,,,AVENUE DES SAPINETTES,,BP 21,33127,MARTIGNAS SUR JALLE,FRANCE
0332768E,Collège Alienor d'Aquitaine,Alienor d'Aquitaine,33063,BORDEAUX                              ,PUBLIC,0556914243,0556330717,ce.0332768E@ac-bordeaux.fr,MADAME GERVAIS LYSIANE,MADAME GUILLOTTEAU BÉNÉDICTE,MADAME PEROUCHINE SOPHIE,01,0330103,,0,,,,,,01/09/1988,,617,621,629,654,707,731,708,-0.5612565,44.82368,COLLEGE ALIENOR D AQUITAINE,,,16,,RUE DOM DEVIENNE,,,33800,BORDEAUX,FRANCE
0333093H,Collège Léonard De Vinci,Léonard De Vinci,33376,ST AUBIN DE MEDOC                     ,PUBLIC,0556574830,0556574835,ce.0333093H@ac-bordeaux.fr,MONSIEUR FERRER JOSEPH,MADAME MATINEZ-LE THI XUÂN,MADAME BERTRAND FUHRER FLORENCE,02,0330214,,0,,,,,,01/09/2003,,665,692,692,657,662,632,636,-0.71548486,44.906296,COLLEGE LEONARD DE VINCI,,,,,AVENUE LYCEE SUD MEDOC,,BP 90,33160,ST AUBIN DE MEDOC,FRANCE
0333129X,Collège Saint Joseph,Saint Joseph,33056,BLANQUEFORT                           ,PRIVE,0556955430,0556359970,ce.0333129X@ac-bordeaux.fr,MONSIEUR PATRICK MIRAMONT,,,02,0330201,RAR,0,,,,,,01/09/2005,,72,75,75,71,91,93,95,-0.6466404,44.906887,COLLEGE SAINT JOSEPH,,,12,,AVENUE DU 8 MAI,,CS 50001,33295,BLANQUEFORT CEDEX,FRANCE
0333134C,Collège de l'Estey,De L'Estey,33422,ST JEAN D ILLAC                       ,PUBLIC,0556210950,0556218473,ce.0333134C@ac-bordeaux.fr,MADAME LACOMBE ANNETTE,,MADAME BENHALILOU ILHÈME,07,0330711,,0,,,,,,01/09/2006,,470,455,469,475,457,470,473,-0.8063271,44.80726,COLLEGE DE L'ESTEY,,,,,AVENUE DU LAS,,,33127,ST JEAN D ILLAC,FRANCE
0333274E,Collège Rosa Bonheur,Rosa Bonheur,33075,BRUGES                                ,PUBLIC,0556800006,0556806657,ce.0333274E@ac-bordeaux.fr,MADAME BOZON MURIEL,MONSIEUR HARREAU JEAN MARIE,MONSIEUR MUNSCH DIDIER,02,0330216,,0,,,,,,01/09/2012,,,,,,,200,322,-0.58730227,44.87362,COLLEGE DE BRUGES,,,57,,RUE JEAN CLAUDEVILLE,,,33520,BRUGES,FRANCE
0331617D,Collège Claude Massé,Claude Massé,33003,AMBARES ET LAGRAVE                    ,PUBLIC,0556389360,0556388628,ce.0331617D@ac-bordeaux.fr,MONSIEUR SYNNAEVE GÉRARD,MADAME COUNIL MYRIAM,MADAME MARGUERITAT MIREILLE,03,0330301,,0,,,,,,02/04/1968,,590,606,607,618,676,690,689,-0.48385108,44.92828,COLLEGE CLAUDE MASSE,,,4,,RUE PIERRE BARRE,,BP 78,33440,AMBARES ET LAGRAVE,FRANCE
0331620G,Collège Camille Claudel,Camille Claudel,33234,LATRESNE                              ,PUBLIC,0557971599,0556201847,ce.0331620G@ac-bordeaux.fr,MADAME SETBON SONIA,MONSIEUR ESCUER GILLES,MONSIEUR SALIME SOILHI,03,0330310,,0,,,,,,02/04/1968,,885,919,910,922,896,915,812,-0.49180764,44.786556,COLLEGE CAMILLE CLAUDEL,,,,,ALLEE DU STADE,,BP 7,33360,CENAC,FRANCE
