Commune,Nb pop.,-11ansNbpop,-11ans%Pop,11-17Nbpop,11-17ans%Pop,18-24Nbpop,18-24ans%Pop,25-39Nbpop,25-39ans%Pop,40-54Nbpop,40-64ans%Pop,55-64Nbpop,55-64ans%Pop,65-79Nbpop,65-79%Pop,+80ansNbpop,+80ans%Pop,insee_com,lat,lon,superficie
Saint-Androny,554,67,12%,52,9%,28,5%,96,17%,157,28%,84,15%,48,9%,22,4%,33370,45.2014736682, -0.686129899592,3640.0
Saint-Antoine,387,45,12%,35,9%,38,10%,82,21%,87,23%,46,12%,39,10%,16,4%,33371,45.0167556803, -0.423980805678,20.0
Saint-Antoine-du-Queyret,76,6,8%,11,14%,7,9%,8,11%,19,25%,9,12%,13,17%,3,4%,33372,44.7623588466, 0.00922484290059,691.0
Saint-Antoine-sur-l'Isle,561,86,15%,41,7%,28,5%,116,21%,110,20%,74,13%,73,13%,31,6%,33373,45.0470360982, 0.0461113956176,1043.0
Saint-Aubin-de-Blaye,791,116,15%,70,9%,52,7%,145,18%,169,21%,113,14%,98,12%,30,4%,33374,45.2588194568, -0.572897144494,1158.0
Saint-Aubin-de-Branne,359,47,13%,34,9%,13,4%,55,15%,87,24%,52,14%,51,14%,21,6%,33375,44.8109316671, -0.168129040807,551.0
Saint-Aubin-de-Médoc,6 350,861,14%,748,12%,468,7%,837,13%,1 719,27%,898,14%,654,10%,163,3%,33376,44.9333497941, -0.748518197327,3474.0
Saint-Avit-de-Soulège,78,8,10%,9,12%,3,4%,11,14%,17,22%,14,18%,13,17%,3,4%,33377,44.8116266609, 0.120263165999,282.0
Saint-Avit-Saint-Nazaire,1 488,201,13%,145,10%,88,6%,195,13%,332,22%,217,15%,225,15%,87,6%,33378,44.8478527826, 0.274744250182,1872.0
Saint-Brice,301,28,9%,27,9%,12,4%,49,16%,72,24%,35,12%,34,11%,45,15%,33379,44.6937696181, -0.141055094504,570.0
Saint-Caprais-de-Blaye,534,83,16%,50,9%,20,4%,100,19%,111,21%,66,12%,74,14%,30,6%,33380,45.2880354799, -0.566771692266,509.0
Saint-Caprais-de-Bordeaux,2 738,382,14%,231,8%,192,7%,514,19%,585,21%,483,18%,212,8%,140,5%,33381,44.7540788366, -0.427673567177,1015.0
Saint-Christoly-de-Blaye,2 039,322,16%,201,10%,123,6%,337,17%,418,21%,274,13%,263,13%,101,5%,33382,45.1439978714, -0.496519035518,2813.0
Saint-Christoly-Médoc,285,32,11%,19,7%,10,3%,47,16%,61,21%,55,19%,40,14%,22,8%,33383,45.3574015951, -0.834464734201,760.0
Saint-Christophe-de-Double,662,100,15%,43,6%,28,4%,128,19%,143,22%,83,13%,88,13%,50,8%,33385,45.0834847193, 0.0231131592109,3612.0
Saint-Christophe-des-Bardes,482,65,13%,36,7%,31,6%,102,21%,90,19%,74,15%,67,14%,17,4%,33384,44.8971613275, -0.12024751685,773.0
Saint-Cibard,209,26,13%,13,6%,7,3%,38,18%,38,18%,41,20%,37,17%,10,5%,33386,44.9384422603, -0.0230796373172,353.0
Saint-Ciers-d'Abzac,1 370,225,16%,141,10%,83,6%,254,19%,306,22%,186,14%,125,9%,50,4%,33387,45.0354269369, -0.288732170922,1173.0
Saint-Ciers-de-Canesse,804,122,15%,86,11%,34,4%,154,19%,173,22%,121,15%,74,9%,40,5%,33388,45.0873767558, -0.602217523862,689.0
Saint-Ciers-sur-Gironde,3 059,370,12%,284,9%,202,7%,455,15%,653,21%,463,15%,389,13%,243,8%,33389,45.2980782445, -0.648058188533,3808.0
Saint-Côme,305,50,16%,23,7%,8,3%,48,16%,69,23%,46,15%,43,14%,18,6%,33391,44.4249739922, -0.174304293799,602.0
Saint-Denis-de-Pile,5 227,819,16%,504,10%,289,6%,943,18%,1 128,22%,694,13%,589,11%,261,5%,33393,44.9879017706, -0.183958862029,2786.0
Saint-Émilion,1 931,242,13%,152,8%,115,6%,337,17%,417,22%,264,14%,282,15%,122,6%,33394,44.8999911844, -0.169955105989,2702.0
Saint-Estèphe,1 650,217,13%,147,9%,85,5%,293,18%,358,22%,229,14%,232,14%,88,5%,33395,45.2509775886, -0.781613837384,2358.0
Saint-Étienne-de-Lisse,266,37,14%,20,7%,19,7%,45,17%,52,19%,38,14%,35,13%,20,7%,33396,44.880960315, -0.0941588854927,711.0
Saint-Exupéry,158,27,17%,18,11%,10,6%,31,19%,42,26%,12,8%,12,8%,7,4%,33398,44.6331784012, -0.100374502546,424.0
Saint-Félix-de-Foncaude,298,31,10%,22,8%,19,6%,53,18%,67,23%,48,16%,33,11%,25,9%,33399,44.6525452619, -0.104673473731,1030.0
Saint-Ferme,360,46,13%,34,9%,8,2%,58,16%,74,21%,57,16%,59,16%,22,6%,33400,44.6953149671, 0.0615909665111,2010.0
Saint-Genès-de-Blaye,480,66,14%,39,8%,33,7%,76,16%,119,25%,78,16%,46,10%,24,5%,33405,45.1613439952, -0.668437136605,1175.0
Saint-Genès-de-Castillon,395,50,13%,36,9%,22,6%,61,15%,92,23%,58,15%,52,13%,24,6%,33406,44.899794746, -0.0641790008053,681.0
Saint-Genès-de-Fronsac,722,128,18%,75,10%,27,4%,148,21%,171,24%,107,15%,43,6%,23,3%,33407,45.0267396245, -0.345881901281,686.0
Saint-Genès-de-Lombaud,330,51,15%,43,13%,17,5%,47,14%,81,24%,52,16%,31,9%,9,3%,33408,44.7540640198, -0.378689815135,610.0
Saint-Genis-du-Bois,99,12,12%,5,5%,0,0%,25,25%,20,20%,14,14%,16,16%,7,7%,33409,44.6998143396, -0.183471650836,232.0
Saint-Germain-d'Esteuil,1 195,159,13%,107,9%,61,5%,196,16%,279,23%,178,15%,149,12%,65,5%,33412,45.2552033922, -0.895235523992,4475.0
Saint-Germain-de-Grave,148,22,15%,16,11%,4,3%,23,15%,42,28%,5,3%,25,17%,11,8%,33411,44.6234269456, -0.217898533174,615.0
Saint-Germain-de-la-Rivière,387,62,16%,34,9%,11,3%,101,26%,76,20%,57,15%,27,7%,18,5%,33414,44.9440812975, -0.330721356984,392.0
Saint-Germain-du-Puch,2 165,324,15%,182,8%,126,6%,406,19%,485,22%,306,14%,252,12%,84,4%,33413,44.8518771746, -0.334057269081,1214.0
Saint-Gervais,1 580,272,17%,114,7%,121,8%,342,22%,359,23%,201,13%,124,8%,48,3%,33415,45.0168841442, -0.466644365612,563.0
Saint-Girons-d'Aiguevives,979,131,13%,88,9%,53,5%,189,19%,204,21%,126,13%,115,12%,72,7%,33416,45.1466416615, -0.538156488225,1182.0
Saint-Hilaire-de-la-Noaille,374,49,13%,35,9%,19,5%,59,16%,101,27%,54,14%,43,11%,14,4%,33418,44.6031750494, 0.00530764786777,1140.0
Saint-Hilaire-du-Bois,76,11,14%,4,5%,4,5%,10,13%,18,24%,13,17%,9,12%,7,9%,33419,44.6612294768, -0.0744756650033,449.0
Saint-Hippolyte,151,18,12%,11,8%,8,6%,23,15%,42,28%,28,19%,16,10%,5,3%,33420,44.8740781768, -0.120995887254,440.0
Saint-Jean-d'Illac,7 159,1 006,14%,828,12%,541,8%,1 217,17%,1 980,28%,856,12%,522,7%,209,3%,33422,44.7934010703, -0.819193904642,12061.0
Saint-Jean-de-Blaignac,432,59,14%,36,8%,20,5%,77,18%,102,24%,62,14%,63,14%,14,3%,33421,44.8093814613, -0.132286748685,579.0
Saint-Julien-Beychevelle,653,89,14%,56,9%,36,5%,123,19%,143,22%,87,13%,84,13%,35,5%,33423,45.1572384693, -0.737068946375,2530.0
Saint-Laurent-d'Arce,1 370,234,17%,121,9%,71,5%,285,21%,290,21%,169,12%,146,11%,54,4%,33425,45.0430455574, -0.465863416208,808.0
Saint-Laurent-des-Combes,254,27,11%,13,5%,15,6%,45,18%,62,24%,48,19%,25,10%,20,8%,33426,44.8731298275, -0.138268824153,386.0
Saint-Laurent-du-Bois,245,50,21%,22,9%,9,4%,50,21%,50,21%,29,12%,24,10%,11,4%,33427,44.6406776819, -0.137803248191,737.0
Saint-Laurent-du-Plan,90,13,15%,3,3%,8,8%,17,19%,20,22%,10,12%,9,11%,9,11%,33428,44.6255670089, -0.117013007902,238.0
Saint-Laurent-Médoc,4 350,669,15%,419,10%,242,6%,836,19%,957,22%,560,13%,479,11%,188,4%,33424,45.1404040788, -0.862340576235,13606.0
Saint-Léger-de-Balson,332,46,14%,40,12%,16,5%,63,19%,72,22%,41,12%,38,12%,16,5%,33429,44.429710887, -0.441424293388,3787.0
Saint-Léon,345,57,17%,31,9%,18,5%,77,22%,87,25%,41,12%,26,8%,7,2%,33431,44.7665724734, -0.276430909291,443.0
Saint-Loubert,213,47,22%,15,7%,14,7%,51,24%,54,25%,12,6%,13,6%,7,3%,33432,44.5533634868, -0.168857964399,211.0
Saint-Loubès,8 361,1 192,14%,696,8%,589,7%,1 574,19%,1 928,23%,1 154,14%,877,10%,351,4%,33433,44.9220849836, -0.430829260925,2570.0
Saint-Louis-de-Montferrand,2 073,288,14%,198,10%,164,8%,422,20%,445,21%,308,15%,183,9%,63,3%,33434,44.9582743614, -0.533092800544,1152.0
Saint-Macaire,2 020,331,16%,162,8%,151,7%,439,22%,373,18%,185,9%,213,11%,166,8%,33435,44.5631655827, -0.232549072695,213.0
Saint-Magne,996,148,15%,94,9%,49,5%,202,20%,228,23%,126,13%,116,12%,33,3%,33436,44.5545369985, -0.658226760679,8288.0
Saint-Magne-de-Castillon,1 917,232,12%,145,8%,113,6%,255,13%,376,20%,269,14%,346,18%,182,10%,33437,44.8564111002, -0.0738465578343,1397.0
Saint-Maixant,1 691,286,17%,159,9%,76,4%,312,18%,346,20%,210,12%,210,12%,92,5%,33438,44.5770246409, -0.246142662745,753.0
Saint-Mariens,1 570,270,17%,138,9%,102,6%,314,20%,337,21%,194,12%,148,9%,68,4%,33439,45.1211853951, -0.40505275637,1202.0
Saint-Martial,233,36,15%,21,9%,12,5%,51,22%,48,21%,31,13%,21,9%,13,6%,33440,44.6326268868, -0.177651348773,739.0
Saint-Martin-de-Laye,533,86,16%,46,9%,25,5%,102,19%,113,21%,62,12%,62,12%,37,7%,33442,45.0337147655, -0.232425034493,947.0
Saint-Martin-de-Lerm,143,17,12%,16,12%,2,1%,22,15%,29,20%,19,13%,30,21%,8,6%,33443,44.6483155424, -0.0445021320501,703.0
Saint-Martin-de-Sescas,569,101,18%,58,10%,20,4%,103,18%,118,21%,73,13%,63,11%,33,6%,33444,44.5868737063, -0.165403223369,822.0
Saint-Martin-du-Bois,830,141,17%,78,9%,48,6%,194,23%,193,23%,85,10%,69,8%,23,3%,33445,45.0202297197, -0.259099339397,978.0
Saint-Martin-du-Puy,198,28,14%,14,7%,12,6%,28,14%,38,19%,38,19%,25,13%,14,7%,33446,44.6732953187, -0.0351529488141,913.0
Saint-Martin-Lacaussade,1 068,127,12%,76,7%,83,8%,174,16%,255,24%,144,14%,157,15%,52,5%,33441,45.142779014, -0.642629661548,397.0
Saint-Médard-d'Eyrans,2 872,427,15%,259,9%,200,7%,606,21%,676,24%,360,13%,213,7%,131,5%,33448,44.7113116565, -0.509379859547,1275.0
Saint-Médard-de-Guizières,2 394,351,15%,199,8%,136,6%,430,18%,467,20%,328,14%,319,13%,164,7%,33447,45.0103439546, -0.0695991585994,1021.0
Saint-Médard-en-Jalles,28 839,3 871,13%,2 814,10%,1 967,7%,4 473,16%,7 144,25%,3 716,13%,3 624,13%,1 230,4%,33449,44.8832620816, -0.784239883546,8491.0
Saint-Michel-de-Castelnau,225,18,8%,19,8%,9,4%,25,11%,59,26%,39,17%,33,15%,24,11%,33450,44.289942196, -0.0867837653969,4282.0
Saint-Michel-de-Fronsac,533,64,12%,45,8%,22,4%,84,16%,118,22%,79,15%,90,17%,31,6%,33451,44.9260021181, -0.303356529349,549.0
Saint-Michel-de-Lapujade,191,19,10%,18,9%,9,5%,30,16%,54,28%,26,13%,27,14%,9,5%,33453,44.587647568, 0.0785219724491,744.0
Saint-Michel-de-Rieufret,558,60,11%,55,10%,27,5%,112,20%,138,25%,74,13%,74,13%,18,3%,33452,44.6247110153, -0.441646554916,1892.0
Saint-Morillon,1 542,273,18%,165,11%,73,5%,315,20%,382,25%,188,12%,103,7%,43,3%,33454,44.6420351361, -0.519894969485,2043.0
Saint-Palais,506,63,13%,46,9%,33,6%,79,16%,123,24%,76,15%,52,10%,34,7%,33456,45.3095196447, -0.598080918654,971.0
Saint-Pardon-de-Conques,565,85,15%,69,12%,27,5%,90,16%,153,27%,89,16%,37,6%,16,3%,33457,44.5515180962, -0.188705431159,669.0
Saint-Paul,951,116,12%,95,10%,42,4%,144,15%,237,25%,140,15%,121,13%,56,6%,33458,45.1500987508, -0.590143244865,1088.0
Saint-Pey-d'Armens,231,17,7%,13,6%,11,5%,41,18%,49,21%,40,17%,34,15%,27,12%,33459,44.8548887899, -0.118107156946,427.0
Saint-Pey-de-Castets,643,81,13%,62,10%,33,5%,119,18%,147,23%,78,12%,92,14%,30,5%,33460,44.81667563, -0.0640784363201,1112.0
Saint-Philippe-d'Aiguille,404,47,12%,28,7%,27,7%,63,16%,98,24%,56,14%,63,16%,22,6%,33461,44.9155884721, -0.0382526384701,592.0
Saint-Philippe-du-Seignal,474,63,13%,41,9%,23,5%,70,15%,108,23%,84,18%,70,15%,15,3%,33462,44.8241452564, 0.25435223921,338.0
Saint-Pierre-d'Aurillac,1 318,176,13%,112,8%,69,5%,202,15%,269,20%,196,15%,208,16%,88,7%,33463,44.5791928369, -0.192914222319,656.0
Saint-Pierre-de-Bat,313,35,11%,32,10%,19,6%,37,12%,94,30%,41,13%,45,14%,9,3%,33464,44.6700408345, -0.219919179937,896.0
Saint-Pierre-de-Mons,1 093,179,16%,114,10%,67,6%,193,18%,253,23%,146,13%,96,9%,44,4%,33465,44.5455986707, -0.213270603156,910.0
Saint-Quentin-de-Baron,2 000,361,18%,163,8%,191,10%,568,28%,390,19%,176,9%,108,5%,43,2%,33466,44.8184515689, -0.281173860387,877.0
Saint-Quentin-de-Caplong,247,28,11%,19,8%,6,2%,36,15%,41,17%,42,17%,58,23%,17,7%,33467,44.7954078713, 0.137421248916,1119.0
Saint-Romain-la-Virvée,799,105,13%,69,9%,43,5%,149,19%,170,21%,132,16%,98,12%,33,4%,33470,44.9594958204, -0.409988022855,784.0
Saint-Sauveur,1 286,165,13%,110,9%,84,6%,211,16%,308,24%,219,17%,150,12%,40,3%,33471,45.1949204348, -0.818681392214,2179.0
Saint-Sauveur-de-Puynormand,422,65,15%,50,12%,27,6%,61,14%,93,22%,62,15%,47,11%,17,4%,33472,44.9957255079, -0.0320379299436,549.0
Saint-Savin,2 978,504,17%,304,10%,161,5%,593,20%,598,20%,328,11%,282,9%,208,7%,33473,45.1636697331, -0.441034693146,3375.0
Saint-Selve,2 285,355,16%,253,11%,178,8%,433,19%,592,26%,263,12%,153,7%,58,3%,33474,44.6549808448, -0.472634663136,1780.0
Saint-Seurin-de-Bourg,368,51,14%,34,9%,18,5%,63,17%,92,25%,50,14%,34,9%,25,7%,33475,45.0519405923, -0.58173269823,289.0
Saint-Seurin-de-Cadourne,712,94,13%,68,10%,37,5%,122,17%,141,20%,113,16%,107,15%,29,4%,33476,45.2908187086, -0.80189992877,1559.0
Saint-Seurin-de-Cursac,689,63,9%,54,8%,31,4%,107,16%,185,27%,98,14%,101,15%,50,7%,33477,45.1579570055, -0.627426326593,236.0
Saint-Seurin-sur-l'Isle,3 061,398,13%,228,7%,241,8%,533,17%,525,17%,417,14%,470,15%,249,8%,33478,45.0105769146, -0.0011367508014,890.0
Saint-Sève,224,27,12%,27,12%,13,6%,27,12%,59,27%,32,14%,23,10%,15,7%,33479,44.6068639564, -0.0241032514519,481.0
Saint-Sulpice-de-Faleyrens,1 456,157,11%,112,8%,89,6%,206,14%,345,24%,258,18%,193,13%,96,7%,33480,44.8612319917, -0.188059653304,2001.0
Saint-Sulpice-de-Guilleragues,222,27,12%,17,8%,9,4%,35,16%,52,24%,37,17%,35,16%,11,5%,33481,44.6298211535, 0.0478045586142,688.0
Saint-Sulpice-de-Pommiers,239,31,13%,24,10%,16,7%,40,17%,52,22%,42,18%,22,9%,12,5%,33482,44.6759704977, -0.113677268299,988.0
Saint-Sulpice-et-Cameyrac,4 485,583,13%,445,10%,284,6%,716,16%,1 003,22%,686,15%,596,13%,171,4%,33483,44.9006929748, -0.386356667148,1524.0
Saint-Symphorien,1 783,206,12%,185,10%,94,5%,247,14%,360,20%,229,13%,274,15%,189,11%,33484,44.4230431057, -0.540077855567,10624.0
Saint-Trojan,331,39,12%,34,10%,17,5%,50,15%,84,25%,56,17%,37,11%,13,4%,33486,45.0900998302, -0.580473676207,317.0
Saint-Vincent-de-Paul,1 026,132,13%,117,11%,79,8%,183,18%,259,25%,142,14%,82,8%,31,3%,33487,44.9735956651, -0.481421340788,1385.0
Saint-Vincent-de-Pertignas,369,45,12%,23,6%,16,4%,60,16%,88,24%,67,18%,42,11%,28,8%,33488,44.798947903, -0.111709679595,762.0
Saint-Vivien-de-Blaye,386,53,14%,37,10%,24,6%,60,16%,99,26%,41,11%,45,12%,27,7%,33489,45.1041763192, -0.507779257628,574.0
Saint-Vivien-de-Médoc,1 672,189,11%,98,6%,62,4%,224,13%,320,19%,279,17%,352,21%,147,9%,33490,45.4448997838, -1.02531932797,2924.0
Saint-Vivien-de-Monségur,382,37,10%,29,8%,17,4%,38,10%,93,24%,70,18%,76,20%,22,6%,33491,44.6162538241, 0.116604904925,1591.0
Saint-Yzan-de-Soudiac,2 265,415,18%,205,9%,166,7%,511,23%,464,20%,245,11%,188,8%,70,3%,33492,45.1520899174, -0.405167820724,1118.0
Saint-Yzans-de-Médoc,393,36,9%,24,6%,29,7%,52,13%,99,25%,67,17%,54,14%,32,8%,33493,45.3263969958, -0.813698621313,1131.0
Sainte-Colombe,478,73,15%,49,10%,27,6%,98,21%,123,26%,51,11%,42,9%,15,3%,33390,44.8789588977, -0.0634971172004,404.0
Sainte-Croix-du-Mont,899,161,18%,72,8%,41,5%,196,22%,182,20%,98,11%,98,11%,51,6%,33392,44.5979961934, -0.272147017146,902.0
Sainte-Eulalie,4 646,679,15%,489,11%,353,8%,777,17%,1 018,22%,689,15%,517,11%,123,3%,33397,44.9016662079, -0.479039252599,925.0
Sainte-Florence,137,24,17%,10,7%,9,6%,26,19%,33,24%,15,11%,19,14%,2,1%,33401,44.8173313426, -0.0924823027936,322.0
Sainte-Foy-la-Grande,2 327,286,12%,157,7%,160,7%,339,15%,360,15%,285,12%,377,16%,363,16%,33402,44.8408428381, 0.217540501109,59.0
Sainte-Foy-la-Longue,134,27,20%,9,7%,6,4%,20,15%,30,22%,25,19%,15,11%,3,2%,33403,44.615535673, -0.142468985592,938.0
Sainte-Gemme,257,41,16%,31,12%,6,2%,36,14%,54,21%,39,15%,33,13%,17,7%,33404,44.6180963158, 0.0736487066839,955.0
Sainte-Hélène,2 643,452,17%,292,11%,111,4%,510,19%,693,26%,280,11%,250,9%,54,2%,33417,44.9726615806, -0.913525242529,12877.0
Sainte-Radegonde,466,58,12%,44,9%,29,6%,75,16%,96,21%,71,15%,71,15%,24,5%,33468,44.8030043488, 0.0238709656269,1245.0
Sainte-Terre,1 908,258,14%,136,7%,102,5%,315,17%,426,22%,260,14%,234,12%,177,9%,33485,44.8338850704, -0.120538591172,1408.0
Salaunes,837,150,18%,64,8%,40,5%,186,22%,203,24%,91,11%,81,10%,22,3%,33494,44.9276818201, -0.845720627431,4345.0
Salignac,1 594,273,17%,157,10%,84,5%,331,21%,336,21%,203,13%,163,10%,48,3%,33495,45.0202119768, -0.372466651033,1296.0
Salleboeuf,2 232,268,12%,218,10%,123,6%,305,14%,564,25%,306,14%,289,13%,159,7%,33496,44.8438707092, -0.39299225545,1463.0
Salles,6 349,958,15%,689,11%,361,6%,1 114,18%,1 518,24%,747,12%,683,11%,279,4%,33498,44.5414583126, -0.883819514854,13812.0
Samonac,444,50,11%,38,8%,29,6%,65,15%,115,26%,68,15%,54,12%,25,6%,33500,45.0708411612, -0.571604822734,403.0
Saucats,2 230,331,15%,235,11%,117,5%,403,18%,568,25%,343,15%,192,9%,41,2%,33501,44.6513032071, -0.631639793816,8907.0
Saugon,426,65,15%,52,12%,20,5%,88,21%,98,23%,45,11%,39,9%,19,4%,33502,45.185092781, -0.501188471075,1536.0
Saumos,553,89,16%,43,8%,24,4%,109,20%,131,24%,82,15%,57,10%,16,3%,33503,44.9121930542, -1.00529484975,5787.0
Sauternes,752,128,17%,61,8%,36,5%,157,21%,165,22%,91,12%,84,11%,31,4%,33504,44.531082109, -0.341531541732,1127.0
Sauveterre-de-Guyenne,1 805,194,11%,134,7%,79,4%,283,16%,372,21%,242,13%,299,17%,201,11%,33506,44.7005227855, -0.0766193491952,3194.0
Sauviac,320,46,14%,24,8%,15,5%,53,17%,71,22%,57,18%,42,13%,12,4%,33507,44.4000851943, -0.183884357604,1132.0
Savignac,612,90,15%,64,11%,20,3%,111,18%,149,24%,74,12%,65,11%,38,6%,33508,44.5147062102, -0.108846337932,1714.0
Savignac-de-l'Isle,503,60,12%,35,7%,32,6%,79,16%,107,21%,108,21%,60,12%,22,4%,33509,44.9865629262, -0.24028093176,444.0
Semens,196,35,18%,17,8%,5,3%,52,26%,44,23%,29,15%,11,6%,3,2%,33510,44.6132843909, -0.232960926916,365.0
Sendets,354,47,13%,36,10%,11,3%,61,17%,84,24%,39,11%,54,15%,21,6%,33511,44.4268508366, -0.0945303098396,836.0
Sigalens,379,60,16%,29,8%,14,4%,76,20%,77,20%,47,12%,54,14%,23,6%,33512,44.4549781979, -0.03281524291,1821.0
Sillas,106,5,5%,9,8%,5,5%,14,13%,25,24%,21,20%,24,23%,3,3%,33513,44.3693679441, -0.0585641941826,769.0
Soulac-sur-Mer,2 531,184,7%,145,6%,95,4%,257,10%,425,17%,448,18%,576,23%,401,16%,33514,45.493296382, -1.10918123147,3061.0
Soulignac,439,55,12%,46,10%,33,8%,67,15%,120,27%,54,12%,42,10%,22,5%,33515,44.6965920718, -0.288037993647,1156.0
Soussac,178,22,12%,19,11%,5,3%,28,16%,47,27%,20,11%,24,14%,12,7%,33516,44.7356053144, 0.0112731568221,662.0
Soussans,1 555,252,16%,134,9%,112,7%,338,22%,308,20%,189,12%,168,11%,54,3%,33517,45.0563042075, -0.697907697302,1563.0
Tabanac,1 064,148,14%,100,9%,55,5%,171,16%,229,22%,162,15%,149,14%,50,5%,33518,44.7242938143, -0.41077713329,777.0
Taillecavat,311,50,16%,35,11%,21,7%,47,15%,73,23%,44,14%,31,10%,12,4%,33520,44.6516434707, 0.157497869369,949.0
Talais,683,88,13%,35,5%,29,4%,101,15%,120,18%,115,17%,146,21%,48,7%,33521,45.4760792837, -1.06152819999,2050.0
Talence,41 358,4 075,10%,2 357,6%,9 971,24%,9 245,22%,6 242,15%,4 012,10%,3 305,8%,2 151,5%,33522,44.8060817507, -0.591124592873,829.0
Targon,1 885,256,14%,149,8%,123,7%,313,17%,422,22%,251,13%,243,13%,128,7%,33523,44.7345410468, -0.267821650496,2600.0
Tarnès,258,27,10%,32,12%,16,6%,40,15%,63,24%,38,15%,38,15%,6,2%,33524,44.9760038738, -0.355091111216,143.0
Tauriac,1 302,165,13%,141,11%,75,6%,241,19%,322,25%,176,14%,124,10%,58,4%,33525,45.0535176036, -0.505943273443,1081.0
Tayac,134,18,13%,12,9%,3,2%,18,13%,38,28%,21,15%,18,13%,8,6%,33526,44.9605098149, -0.023701712084,717.0
Teuillac,875,139,16%,100,11%,51,6%,184,21%,189,22%,104,12%,73,8%,35,4%,33530,45.0962146262, -0.547066877584,746.0
Tizac-de-Curton,296,39,13%,13,4%,20,7%,58,20%,60,20%,54,18%,39,13%,13,4%,33531,44.8247322767, -0.242853466608,409.0
Tizac-de-Lapouyade,505,56,11%,43,9%,30,6%,89,18%,121,24%,83,16%,56,11%,27,5%,33532,45.0701772537, -0.314253428253,923.0
Toulenne,2 546,399,16%,231,9%,161,6%,454,18%,480,19%,333,13%,331,13%,156,6%,33533,44.5644281696, -0.275202743497,655.0
Tresses,4 327,607,14%,403,9%,270,6%,765,18%,962,22%,725,17%,468,11%,127,3%,33535,44.8419124871, -0.469935856995,1189.0
Uzeste,413,40,10%,37,9%,10,3%,55,13%,100,24%,76,18%,61,15%,33,8%,33537,44.4334139021, -0.324575198234,2620.0
Valeyrac,529,96,18%,47,9%,20,4%,96,18%,94,18%,72,14%,71,13%,34,6%,33538,45.3906041453, -0.901076272339,1277.0
Vayres,3 543,574,16%,321,9%,216,6%,699,20%,778,22%,400,11%,380,11%,175,5%,33539,44.8910656059, -0.32583268578,1433.0
Vendays-Montalivet,2 487,256,10%,161,6%,116,5%,353,14%,486,20%,440,18%,462,19%,212,9%,33540,45.3394672808, -1.10059258014,10079.0
Vensac,932,89,10%,72,8%,36,4%,127,14%,181,19%,159,17%,180,19%,88,9%,33541,45.3988518423, -1.07454435969,3368.0
Vérac,877,154,18%,83,9%,54,6%,166,19%,222,25%,103,12%,71,8%,24,3%,33542,44.9940061941, -0.336975920597,857.0
Verdelais,961,153,16%,77,8%,53,6%,184,19%,206,21%,118,12%,95,10%,75,8%,33543,44.592150286, -0.248104423488,475.0
Vertheuil,1 251,166,13%,105,8%,55,4%,212,17%,270,22%,173,14%,154,12%,116,9%,33545,45.2541334712, -0.845409908523,2181.0
Vignonet,540,70,13%,50,9%,36,7%,88,16%,121,22%,67,12%,73,13%,34,6%,33546,44.8496333181, -0.149970090399,423.0
Villandraut,995,151,15%,81,8%,27,3%,148,15%,218,22%,131,13%,155,16%,85,9%,33547,44.4500209214, -0.380716602185,1257.0
Villegouge,1 253,193,15%,115,9%,76,6%,214,17%,314,25%,177,14%,117,9%,47,4%,33548,44.9726067996, -0.312917809378,1372.0
Villenave-d'Ornon,29 804,3 909,13%,2 345,8%,2 437,8%,5 852,20%,6 478,22%,3 738,13%,3 303,11%,1 744,6%,33550,44.773185218, -0.558212256384,2123.0
Villenave-de-Rions,331,60,18%,9,3%,13,4%,74,22%,57,17%,60,18%,37,11%,22,7%,33549,44.6900368353, -0.340475124809,255.0
Villeneuve,395,45,11%,39,10%,27,7%,79,20%,84,21%,43,11%,61,15%,19,5%,33551,45.0812887735, -0.63981215902,636.0
Virelade,959,155,16%,87,9%,47,5%,191,20%,211,22%,132,14%,99,10%,38,4%,33552,44.6522568451, -0.395140990742,1372.0
Virsac,1 035,170,16%,96,9%,59,6%,225,22%,230,22%,137,13%,93,9%,25,2%,33553,45.0259020314, -0.435395776761,364.0
Yvrac,2 817,356,13%,226,8%,168,6%,503,18%,578,21%,441,16%,404,14%,141,5%,33554,44.8802372837, -0.466351132109,854.0
