RC-NO;RC-RETENU-;RC-NOM;MEDIA;X-WGS84;Y-WGS84;X-L93;Y-L93;MO-NOM;MO-ADRESSE;MO-CP;MO-COMMUNE;MO-TEL;MO-MAIL;GEST-NOM;GEST-ADRES;GEST-CP;GEST-COMMU;GEST-TEL;GEST-MAIL;RC-TYPE;RC-COMMUNE;RC-CO-INSE;RC-CO-DPT;RC-CO-CP;RC-CO-GN;RC-P-TOT-K;RC-P-ENRandR;Classes-ENRandR;RC-BIOMASS;RC-GEOTHER;RC-UVE;RC-CHALEUR;RC-GAZ;RC-FIOUL;RC-AUTRES-;RC-ENERGIE;RC-CO2-KG/;RC-COGENER;RC-INFOS-D;RC-CO-POP-;RC-LONGUEU;RC-VENTE-C;RC-PROD-MW;Classes-production;RC-TAUX-EN;balise_tai;balise_enr;balise_ext
4;1;BOURGES (18) | Collège Jean Renoir;fiches_individuelles/fiche_rc_4.pdf;2.4136155;47.065345;655497;6662954;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;BOURGES;18033;18;18000;1;*400;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;72480;NC;Non;841;0,5 à 2 Gwh / an;0;2;1;3
3;1;BOURGES (18) | Chancellerie Gibjoncs - ZUP de Bourges;fiches_individuelles/fiche_rc_3.pdf;2.4024791;47.0976642;654679;6666550;CA BOURGES PLUS;23-31 BOULEVARD FOCH B.P. 500;18000;BOURGES (18);248485858;info@agglo-bourgesplus.fr;ENGIE COFELY CENTRE-OUEST;2 RUE DE LA TOUCHE LAMBERT;35510;CESSON-SEVIGNE (35);299276565;eric.lecorre@engie.com;SPDC;BOURGES;18033;18;18000;1;64500;21500;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.037;Probable;7 578 équivalents logements (source : Via Sèva) | 3 chaudières bois;72480;17570;Oui;90080;+ 2 Gwh / an;84;3;3;2
6;1;BOURGES (18) | Collège Saint Exupéry;fiches_individuelles/fiche_rc_6.pdf;2.3801099;47.0777479;652965;6664351;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;BOURGES;18033;18;18000;1;660;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;72480;NC;Non;671;0,5 à 2 Gwh / an;0;2;1;3
5;1;BOURGES (18) | Collège LITTRE;fiches_individuelles/fiche_rc_5.pdf;2.3919451;47.0859409;653870;6665254;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;BOURGES;18033;18;18000;1;685;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;72480;NC;Non;754;0,5 à 2 Gwh / an;0;2;1;3
8;1;BOURGES (18) | RC bois du lycée Jacques Cœur;fiches_individuelles/fiche_rc_8.pdf;2.4092175;47.0722912;655169;6663728;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;;;;;;;RT;BOURGES;18033;18;18000;1;*900;900;ENR&R >= 70%;Oui;Non;Non;NC;NC;NC;NC;Biomasse;NC;NC;;72480;NC;Non;*2340;+ 2 Gwh / an;NC;3;0;3
7;1;BOURGES (18) | IUT de Bourges;fiches_individuelles/fiche_rc_7.pdf;2.4169715;47.0986385;655779;6666650;IUT DE BOURGES;63 AVENUE DE LATTRE DE TASSIGNY;18020;BOURGES (18);248238080;;;;;;;;RT;BOURGES;18033;18;18000;1;2050;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;72480;NC;Non;*1800;0,5 à 2 Gwh / an;0;2;1;3
10;1;CHEZAL-BENOIT (18) | Hôpital George Sand;fiches_individuelles/fiche_rc_10.pdf;2.1145715;46.823508;632501;6636307;CENTRE HOSPITALIER GEORGE SAND;77 RUE LOUIS MALLET - BP 6050;18000;BOURGES (18);248665252;;;;;;;;RT;CHEZAL-BENOIT;18065;18;18160;1;NC;NC;NC(Non connu);Non;Non;Non;Non;NC;NC;Non;;NC;NC;;977;1344;Non;NC;NC;0;0;1;0
9;1;CHATEAUMEILLANT (18) | Collège Antoine Meillet;fiches_individuelles/fiche_rc_9.pdf;2.1954295;46.5682631;638376;6607895;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;CHATEAUMEILLANT;18057;18;18370;1;*120;Non;Absence d'ENR&R;Non;Non;Non;Non;Non;Oui;Non;Fioul;0.3;Non;;2058;NC;Non;241;0 à 0,5 Gwh / an;0;1;1;1
12;;FARGES-ALLICHAMPS (18) | Propriété de M. MAGRIAU;fiches_individuelles/fiche_inexistante.pdf;2.395218;46.7576142;653839;6628787;;;;;;;;;;;;;NC;FARGES-ALLICHAMPS;18091;18;18200;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;214;NC;Néant;NC;NC;>70;0;3;2
11;1;DUN-SUR-AURON (18) | Collège Le Colombier;fiches_individuelles/fiche_rc_11.pdf;2.5710056;46.8899893;667336;6643401;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;DUN-SUR-AURON;18087;18;18130;1;800;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;4013;NC;Non;582;0,5 à 2 Gwh / an;0;2;1;1
14;1;JOUET-SUR-L'AUBOIS (18) | Réseau communal;fiches_individuelles/fiche_rc_14.pdf;2.9878295;47.0463407;699076;6660678;COMMUNE DE JOUET-SUR-L'AUBOIS (18);10 RUE DE L'EGLISE;18320;JOUET-SUR-L'AUBOIS (18);248764326;mairie.jouet@wanadoo.fr;;;;;;;RT;JOUET-SUR-L'AUBOIS;18118;18;18320;1;570;220;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.047;Non;;1341;123;Non;*400;0,5 à 2 Gwh / an;80;1;3;3
13;1;HENRICHEMONT (18) | Collège Béthune Sully;fiches_individuelles/fiche_rc_13.pdf;2.5220187;47.3062323;663886;6689655;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;HENRICHEMONT;18109;18;18250;1;595;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;1829;NC;Non;520;0,5 à 2 Gwh / an;0;2;1;2
16;1;LE CHATELET (18) | Collège François le Champi;fiches_individuelles/fiche_rc_16.pdf;2.2827005;46.63953;645132;6615745;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;LE CHATELET;18059;18;18170;1;440;Non;Absence d'ENR&R;Non;Non;Non;Non;Non;Oui;Non;Fioul;0.3;Non;;1104;NC;Non;287;0 à 0,5 Gwh / an;0;1;1;1
15;1;LA-GUERCHE-SUR-L'AUBOIS (18) | Collège Claude Debussy;fiches_individuelles/fiche_rc_15.pdf;2.9528381;46.9498153;696413;6649958;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;LA-GUERCHE-SUR-L'AUBOIS;18108;18;18150;1;*300;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;3397;NC;Non;614;0,5 à 2 Gwh / an;0;2;1;1
18;;MARCAIS (18) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;2.366666974;46.70000002;651900;6622100;;;;;;;;;;;;;NC;MARCAIS;18136;18;18170;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;324;NC;Néant;NC;NC;96;0;3;2
17;;LE SUBDRAY (18) | MBDA;fiches_individuelles/fiche_inexistante.pdf;2.300000012;47.01666697;646300;6656900;;;;;;;;;;;;;NC;LE SUBDRAY;18255;18;18570;1;Non;Non;Absence d'ENR&R;Non;NC;NC;NC;Oui;NC;NC;Gaz;NC;NC;Localisation éloignée de la mairie;712;NC;Néant;NC;NC;0;0;1;2
20;;NANCAY (18) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;2.200000026;47.35000001;639200;6694700;;;;;;;;;;;;;NC;NANCAY;18159;18;18330;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;738;NC;Néant;NC;NC;>70;0;3;2
19;1;MEHUN-SUR-YEVRE (18) | Collège Irène Joliot Curie;fiches_individuelles/fiche_rc_19.pdf;2.2079076;47.1411973;639970;6671515;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;MEHUN-SUR-YEVRE;18141;18;18500;1;450;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;7212;NC;Non;805;0,5 à 2 Gwh / an;0;2;1;2
22;;PRESLY (18) | Domaine du Boulay;fiches_individuelles/fiche_inexistante.pdf;2.349999976;47.38333298;651500;6698800;;;;;;;;;;;;;NC;PRESLY;18185;18;18380;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;228;NC;Néant;NC;NC;100;0;3;2
21;1;NERONDES (18) | Collège Julien Dumas;fiches_individuelles/fiche_rc_21.pdf;2.8167677;46.9928781;686075;6654756;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;NERONDES;18160;18;18350;1;*175;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;1618;NC;Non;357;0 à 0,5 Gwh / an;0;1;1;1
24;1;SAINT-AMAND-MONTROND (18) | Collège Jean Moulin;fiches_individuelles/fiche_rc_24.pdf;2.5129303;46.733592;662807;6626057;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;SAINT-AMAND-MONTROND;18197;18;18200;1;*400;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;11447;NC;Non;896;0,5 à 2 Gwh / an;0;2;1;3
23;1;SAINT-AMAND-MONTROND (18) | Cité du Vernet;fiches_individuelles/fiche_rc_23.pdf;2.498635;46.7315766;661714;6625840;SA HLM FRANCE LOIRE;33 RUE DU FAUBOURG DE BOURGOGNE;45000;ORLEANS (45);;;;;;;;;RC ou RT;SAINT-AMAND-MONTROND;18197;18;18200;1;NC;NC;NC(Non connu);Non;Non;Non;Non;Oui;Non;Non;Gaz;NC;NC;;11447;474;NC;NC;NC;0;0;1;0
26;1;SAINT-DOULCHARD (18) | Collège Louis Armand;fiches_individuelles/fiche_rc_26.pdf;2.3720337;47.1024097;652374;6667095;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;SAINT-DOULCHARD;18205;18;18230;1;545;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;9018;NC;Non;582;0,5 à 2 Gwh / an;0;2;1;3
25;1;SAINT-AMAND-MONTROND (18) | Collège Jean Valette;fiches_individuelles/fiche_rc_25.pdf;2.5130465;46.7162503;662804;6624131;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;SAINT-AMAND-MONTROND;18197;18;18200;1;*250;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;11447;NC;Non;495;0 à 0,5 Gwh / an;0;1;1;2
28;1;SAINT-FLORENT-SUR-CHER (18) | Collège Voltaire;fiches_individuelles/fiche_rc_28.pdf;2.2548811;46.9982173;643380;6655600;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;SAINT-FLORENT-SUR-CHER;18207;18;18400;1;430;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;6900;NC;Non;666;0,5 à 2 Gwh / an;0;2;1;3
27;1;SAINT-DOULCHARD (18) | Usine Michelin;fiches_individuelles/fiche_rc_27.pdf;2.3723805;47.0998006;652398;6666805;MICHELIN KLEBER (SAINT-DOULCHARD);13 RUE DES 2 PONTS;18230;SAINT-DOULCHARD (18);248688600;;ENGIE COFELY CENTRE-OUEST;2 RUE DE LA TOUCHE LAMBERT;35510;CESSON-SEVIGNE (35);299276565;eric.lecorre@engie.com;RT;SAINT-DOULCHARD;18205;18;18230;1;NC;5500;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;NC;;9018;NC;Non;*45000;+ 2 Gwh / an;>0;3;2;1
30;;SAINT-HILAIRE-EN-LIGNIERES (18) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;2.1761146;46.7506331;637108;6628163;;;;;;;;;;;;;NC;SAINT-HILAIRE-EN-LIGNIERES;18216;18;18160;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;523;NC;Néant;NC;NC;>70;0;3;2
29;1;SAINT-GERMAIN-DU-PUY (18) | Collège Jean Rostand;fiches_individuelles/fiche_rc_29.pdf;2.4825399;47.1026238;660755;6667058;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;SAINT-GERMAIN-DU-PUY;18213;18;18390;1;1295;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;5007;NC;Non;790;0,5 à 2 Gwh / an;0;2;1;1
32;1;SANCERRE (18) | Collège de Sancerre;fiches_individuelles/fiche_rc_32.pdf;2.8333683;47.3317091;687416;6692389;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;SANCERRE;18241;18;18300;;895;Non;Absence d'ENR&R;Non;Non;Non;Non;Non;Oui;Non;Fioul;0.3;Non;;1799;213;Non;1398;0,5 à 2 Gwh / an;0;2;1;1
31;1;SANCERGUES (18) | Collège Roger Martin du Gard;fiches_individuelles/fiche_rc_31.pdf;2.9111662;47.153408;693269;6672574;CONSEIL DEPARTEMENTAL 18;PLACE MARCEL PLAISANT;18000;BOURGES (18);248278000;;;;;;;;RT;SANCERGUES;18240;18;18140;;660;Non;Absence d'ENR&R;Non;Non;Non;Non;Non;Oui;Non;Fioul;0.3;Non;;718;NC;Non;715;0,5 à 2 Gwh / an;0;2;1;1
98;1;JOUE-LES-TOURS (37) | Morier et Rabière;fiches_individuelles/fiche_rc_98.pdf;0.6650508;47.349184;523748;6696923;COMMUNE DE JOUE-LES-TOURS (37);PLACE FRANCOIS MITTERAND BP 108;37300;JOUE-LES-TOURS (37);247397000;joue.contact@ville-jouelestours.fr;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;SPDC;JOUE-LES-TOURS;37122;37;37300;1;*84940;9000;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Oui;Non;Biomasse Gaz Fioul;0.1;Oui;6 958 équivalents logements (source : Via Sèva);36517;17546;Oui;74555;+ 2 Gwh / an;66;3;2;1
97;1;JOUE-LES-TOURS (37) | CFA;fiches_individuelles/fiche_rc_97.pdf;0.6390064;47.3447759;521768;6696492;CHAMBRE DE METIERS ET DE L'ARTISANAT D'INDRE-ET-LOIRE;36 - 42 ROUTE DE SAINT AVERTIN;37200;TOURS (37);247252400;;;;;;;;RT;JOUE-LES-TOURS;37122;37;37300;1;*550;550;ENR&R < 70%;Oui;Non;Non;Non;NC;NC;Non;Biomasse;NC;NC;;36517;NC;Non;*1400;0,5 à 2 Gwh / an;>70;2;3;3
100;;LE BOULAY (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.8580822;47.6083573;539096;6725291;;;;;;;;;;;;;NC;LE BOULAY;37030;37;37110;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;493;NC;Néant;NC;NC;>70;0;3;2
99;1;LA RICHE (37) | La Riche - ZAC du Prieuré;fiches_individuelles/fiche_rc_99.pdf;0.6553795;47.3879406;523146;6701248;COMMUNE DE LA RICHE (37);PLACE DU MARECHAL LECLERC BP 102;37520;LA RICHE (37);247362424;la.mairie@ville-lariche.fr;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;SPDC;LA RICHE;37195;37;37520;1;*3500;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;529 équivalents logements (source : Via Sèva);8594;1681;Oui;6221;+ 2 Gwh / an;0;3;1;3
102;;LERNE (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.1226151;47.1359206;481956;6674601;;;;;;;;;;;;;NC;LERNE;37126;37;37500;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;312;NC;Néant;NC;NC;>70;0;3;2
101;;LE LOUROUX (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.783333001;47.16666698;532300;6675700;;;;;;;;;;;;;NC;LE LOUROUX;37136;37;37240;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;425;NC;Néant;NC;NC;>70;0;3;2
104;1;LOCHE-SUR-INDROIS (37) | Mairie et école;fiches_individuelles/fiche_rc_104.pdf;1.2158223;47.0912042;564667;6667190;COMMUNE DE LOCHE-SUR-INDROIS (37);41 RUE DE LA MAIRIE;37460;LOCHE-SUR-INDROIS (37);247926155;mairie-loche-sur-indrois@wanadoo.fr;;;;;;;RT;LOCHE-SUR-INDROIS;37133;37;37460;1;NC;NC;NC(Non connu);Non;Oui;Non;Non;NC;NC;Non;Géothermie;NC;Non;;532;NC;Non;NC;NC;>70;0;3;0
103;1;LOCHES (37) | Collège Georges Besse;fiches_individuelles/fiche_rc_103.pdf;0.9819122;47.1284965;547034;6671758;CONSEIL DEPARTEMENTAL 37;18 PLACE DE LA PREFECTURE;37000;TOURS (37);247314731;;;;;;;;RT;LOCHES;37132;37;37600;1;*500;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;6328;NC;Non;*500;+ 2 Gwh / an;0;2;1;3
106;;MANTHELAN (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.794485;47.135623;532853;6672929;;;;;;;;;;;;;NC;MANTHELAN;37143;37;37240;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;1145;NC;Néant;NC;NC;>70;0;3;2
105;;MAILLE (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.583332972;47.05;516400;6664200;;;;;;;;;;;;;NC;MAILLE;37142;37;37800;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;653;NC;Néant;NC;NC;>70;0;3;2
108;;NOTRE-DAME-D'OE (37) | Réseau communal CU Tours Plus;fiches_individuelles/fiche_inexistante.pdf;0.716667012;47.45;527300;6708800;;;;;;;;;;;;;NC;NOTRE-DAME-D'OE;37172;37;37390;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;3359;NC;Néant;NC;NC;NC;0;0;2
107;1;METTRAY (37) | Assocation La Paternelle;fiches_individuelles/fiche_rc_107.pdf;0.6599548;47.4490027;523692;6708018;ASSOCIATION LA PATERNELLE;38 RUE AUGUSTIN FRESNEL;37390;METTRAY (37);;;;;;;;;RT;METTRAY;37152;37;37390;1;2450;900;ENR&R >= 70%;Oui;Non;Non;Non;Oui;NC;Non;Biomasse Gaz;NC;Non;;2029;NC;Non;1450;0,5 à 2 Gwh / an;84;2;3;1
110;1;NOUZILLY (37) | INRA depuis cogénération biogaz;fiches_individuelles/fiche_rc_110.pdf;0.7450006;47.5442375;530400;6718407;INRA FRANCE;147 RUE DE L'UNIVERSITE;75007;PARIS (75);142759000;;CAP VERT ENERGIE;;;;;;RT;NOUZILLY;37175;37;37380;1;470;470;ENR&R < 70%;Non;Non;Non;Oui;Non;Non;Biogaz;Chaleur récup.;NC;Oui;;1104;400;Non;300;0 à 0,5 Gwh / an;100;1;3;3
109;;NOUZILLY (37) | Domaine de chasse de Bois-le-Roi;fiches_individuelles/fiche_inexistante.pdf;0.749999978;47.54999998;530200;6718200;;;;;;;;;;;;;NC;NOUZILLY;37175;37;37380;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;1104;NC;Néant;NC;NC;100;0;3;2
112;;PREUILLY-SUR-CLAISE (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.9291428;46.8544685;542237;6641436;;;;;;;;;;;;;NC;PREUILLY-SUR-CLAISE;37189;37;37290;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;1293;NC;Néant;NC;NC;>70;0;3;2
111;1;PERNAY (37) | Réseau communal;fiches_individuelles/fiche_rc_111.pdf;0.497111;47.4428401;511405;6707710;COMMUNE DE PERNAY (37);RUE DE LA MAIRIE;37230;PERNAY (37);247524383;mairie.pernay@neuf.fr;;;;;;;RT;PERNAY;37182;37;37230;1;*300;150;ENR&R < 70%;Non;Non;Oui;Non;Oui;Non;Non;UVE Gaz;0.023;Oui;;866;774;Non;147;0 à 0,5 Gwh / an;95;1;3;2
114;1;SAINT-BENOIT-LA-FORET (37) | UIOM;fiches_individuelles/fiche_rc_114.pdf;0.3224876;47.220891;497416;6683501;SMICTOM DU CHINONAIS;24 PLACE JEANNE D'ARC BP 203;37500;CHINON (37);;smictomduchinonais@smictom.com;INOVA FRANCE SA;85 AVENUE VICTOR HUGO;92563;RUEIL-MALMAISON (92);147100350;;NC;SAINT-BENOIT-LA-FORET;37210;37;37500;1;6600;6600;ENR&R >= 70%;Non;Non;Oui;Non;Non;Non;NC;UVE;NC;Non;Potentiel de valorisation de chaleur fatale à hauteur de 18 477 MWh / an;766;NC;NC;6523;+ 2 Gwh / an;100;3;3;1
113;1;SAINT-AVERTIN (37) | Groupe scolaire Plantin;fiches_individuelles/fiche_rc_113.pdf;0.7252598;47.3636985;528338;6698402;COMMUNE DE SAINT-AVERTIN (37);21 RUE DE ROCHEPINARD BP 128;37550;SAINT-AVERTIN (37);247484848;mairie@ville-saint-avertin.fr;;;;;;;RT;SAINT-AVERTIN;37208;37;37550;1;740;200;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.035;Non;;14092;321;Non;765;0,5 à 2 Gwh / an;90;2;3;3
116;1;SAINTE-MAURE-DE-TOURAINE (37) | Centre hospitalier;fiches_individuelles/fiche_rc_116.pdf;0.6125319;47.1065277;518970;6670100;CENTRE HOSPITALIER DE SAINTE MAURE DE TOURAINE;90 AVENUE DU GENERAL DE GAULLE;37800;SAINTE-MAURE-DE-TOURAINE (37);247723232;;;;;;;;RT;SAINTE-MAURE-DE-TOURAINE;37226;37;37800;1;430;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;3909;NC;Non;900;0,5 à 2 Gwh / an;0;2;1;1
115;1;SAINT-CYR-SUR-LOIRE (37) | Usine SKF;fiches_individuelles/fiche_rc_115.pdf;0.6629661;47.4168134;523813;6704437;SKF FRANCE (SAINT-CYR-SUR-LOIRE);204 BOULEVARD CHARLES DE GAULLE;37540;SAINT-CYR-SUR-LOIRE (37);;;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;RT;SAINT-CYR-SUR-LOIRE;37214;37;37540;1;8700;2900;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.07;NC;;16100;NC;Non;16300;+ 2 Gwh / an;70;3;3;3
118;1;SAINT-PIERRE-DES-CORPS (37) | Quartier La Rabaterie;fiches_individuelles/fiche_rc_118.pdf;0.7226984;47.3924941;528237;6701605;CU TOUR(S) PLUS;60 AVENUE MARCEL DASSAULT BP 651;37000;TOURS (37);;tours-plus@agglo-toursplus.fr;CORPO ENERGIES SAS (SAINT-PIERRE-DES-CORPS);112 RUE DE LA RABATERIE;37700;SAINT-PIERRE-DES-CORPS (37);;;SPDC;SAINT-PIERRE-DES-CORPS;37233;37;37700;;19200;4500;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Oui;Oui;Biomasse Gaz Fioul Autres;0.246;Non;2 335 équivalents logements (source : Via Sèva) | 2 chaudières bois 2 et 2,5MW | 2 ECS solaire;15773;5687;Oui;42000;+ 2 Gwh / an;62;3;2;3
117;;SAINT-FLOVIER (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;1.033332993;46.95000001;550000;6653800;;;;;;;;;;;;;NC;SAINT-FLOVIER;37218;37;37600;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;605;NC;Néant;NC;NC;>70;0;3;2
120;1;SEUILLY (37) | Abbaye de Seuilly;fiches_individuelles/fiche_rc_120.pdf;0.1714634;47.1354048;485654;6674410;CPIE TOURAINE - VAL-DE-LOIRE;4 ROUTE DE L'ABBAYE;37500;SEUILLY (37);247959315;info@cpievaldeloire.org;;;;;;;RT;SEUILLY;37248;37;37500;;*220;220;ENR&R < 70%;Oui;Non;Non;Non;NC;NC;Non;Biomasse;NC;Non;;369;NC;Non;350;0 à 0,5 Gwh / an;80;1;3;1
119;;SAINT-QUENTIN-SUR-INDROIS (37) | Cloître;fiches_individuelles/fiche_inexistante.pdf;1.016666682;47.2;550300;6680000;;;;;;;;;;;;;NC;SAINT-QUENTIN-SUR-INDROIS;37234;37;37310;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;429;NC;Néant;NC;NC;>0;0;2;2
122;;TAUXIGNY (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.833333022;47.216667;536000;6681500;;;;;;;;;;;;;NC;TAUXIGNY;37254;37;37310;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;1090;NC;Néant;NC;NC;>70;0;3;2
121;;SOUVIGNE (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.4;47.51666702;504200;6716500;;;;;;;;;;;;;NC;SOUVIGNE;37251;37;37330;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;554;NC;Néant;NC;NC;>70;0;3;2
124;;TOURS (37) | Ecole Jean de la Fontaine;fiches_individuelles/fiche_inexistante.pdf;0.702941;47.417287;526827;6704401;;;;;;;;;;;;;NC;TOURS;37261;37;37000;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;132820;NC;Néant;NC;NC;>70;0;3;2
