Objet,Notification,fournisseur,Code postal,typologie,objet
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 4 charpente bois / mur à ossature bois,13/01/2015,LAMECOL,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 5 couverture / etanchéité,13/01/2015,SAREC,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 6 façades / brise soleil avec ossature/ charpente métallique,13/01/2015,DAVID/ DAVITEC SA,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 7 menuiseries extérieures / serrurerie,13/01/2015,FERMOTOR,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 8 electricité courant fort - courant faibles,13/01/2015,ADEN ENERGIE,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 9 plâtrerie / faux-plafond,13/01/2015,SEGONZAC,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 1 v.r.d. / aménagements paysagers,14/01/2015,LPF-TP,,> 240 HT,travaux
travaux de restructuration partielle du collège alfred mauguin à gradignan lot 15 ascenseur,14/01/2015,KONE,,> 240 HT,travaux
réfection de la couche de roulement en enrobés à froid lot 1 crd du bassin d'arcachon,16/01/2015,EUROVIA GIRONDE,33706,> 240 HT,travaux
réfection de la couche de roulement en enrobés à froid lot 3 crd du sud gironde,16/01/2015,COLAS SUD OUEST- ETABLISSEMENT DE ST-ASTIER,24110,> 240 HT,travaux
réfection de la couche de roulement en enrobés à froid lot 2 crd du médoc,19/01/2015,EUROVIA GIRONDE,33706,> 240 HT,travaux
rd 18 - déviation de galgon - construction d'un ouvrage d'art,23/03/2015,SAS LAURIERE ET FILS,,> 240 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 1 vrd/ espaces verts,26/03/2015,ATLANTIC ROUTE,33560,> 240 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 2 clos couvert/finitions,26/03/2015,LEON GROSSE,,> 240 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 3 second œuvre,26/03/2015,RIDORET MENUISERIE,17000,> 240 HT,travaux
travaux de construction d'un collège sur la commune de mios lot 4 equipements techniques,26/03/2015,SPIE SUD-OUEST SAS,,> 240 HT,travaux
réhabilitation de l’immeuble croix du palais situé rue du corps franc pommiés à bordeaux – relance lot 6,05/08/2015,DANEY,,> 240 HT,travaux
travaux de construction d'un gymnase au collège de mios lot 2 structure - couverture (2.a structure / 2.b couverture ),30/11/2015,LEON GROSSE,,> 240 HT,travaux
travaux de construction d'un gymnase au collège de mios lot 3 bardage - menuiseries exterieures- serrurerie (3.a bardage / 3.b menuiseries extérieures / 3.c serrurerie),30/11/2015,AXE METAL,33270,> 240 HT,travaux
travaux de construction d'un gymnase au collège de mios lot 5 equipements techniques (5.a cvc - plomberie / 5.b electricité cfo/ cfa),30/11/2015,IDEX ENERGIES,92100,> 240 HT,travaux
travaux de construction d'un gymnase au collège de mios lot 4 second-œuvre ( 4.a menuiseries intérieures / 4.b revêtement de sol et de mur / 4.c peinture),01/12/2015,SMDCM,,> 240 HT,travaux
"parc départemental de bâtiments démontables pour les besoins de l'enseignement du second degré
 et autres besoins de la collectivité en location ou achat lot 2 location de bâtiments modulaires",23/12/2015,OBM,,> 240 HT,travaux
