NOM;IDENT;SOUS_TYPE;ADRESSE;NOM_CARTO;NOM_ANCIEN;TYPE;geometry
Cotta (Espace Jacques);BA00520A;Jardin;Espace Jacques Cotta;Espace Jacques Cotta;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.26779778, 43.69539479], [7.2677999, 43.69539485], [7.26783003, 43.69539572], [7.26783271, 43.69539576], [7.26783587, 43.69539543], [7.2678389, 43.69539471], [7.26784172, 43.69539362], [7.26784423, 43.6953922], [7.26784636, 43.69539047], [7.26784804, 43.69538851], [7.2678485, 43.69538781], [7.26784976, 43.69538474], [7.26785306, 43.69533769], [7.26785262, 43.69533548], [7.26785167, 43.69533336], [7.26785022, 43.6953314], [7.26784833, 43.69532964], [7.26784604, 43.69532815], [7.26784343, 43.69532697], [7.26784058, 43.69532614], [7.26783758, 43.69532568], [7.26783549, 43.69532559], [7.26777571, 43.69532358], [7.26777388, 43.69532359], [7.26777055, 43.69532394], [7.26776735, 43.6953247], [7.26776438, 43.69532585], [7.26776173, 43.69532735], [7.26775948, 43.69532917], [7.2677577, 43.69533125], [7.26775644, 43.69533351], [7.26775575, 43.6953359], [7.26775562, 43.6953379], [7.2677527, 43.69538117], [7.26775316, 43.69538351], [7.26775418, 43.69538576], [7.26775571, 43.69538785], [7.26775773, 43.69538972], [7.26776016, 43.6953913], [7.26776293, 43.69539255], [7.26776596, 43.69539343], [7.26776915, 43.69539392], [7.26777058, 43.69539401], [7.26779778, 43.69539479]], [[7.26781165, 43.69538042], [7.26778428, 43.69537932], [7.26777246, 43.6953866], [7.26776346, 43.69537851], [7.26777529, 43.69537124], [7.26777702, 43.69534862], [7.26776619, 43.69534233], [7.26777567, 43.69533371], [7.26778728, 43.69534042], [7.26778931, 43.69533881], [7.26779207, 43.69533724], [7.26779516, 43.69533605], [7.2677985, 43.69533526], [7.26780197, 43.6953349], [7.26780547, 43.69533498], [7.2678089, 43.69533551], [7.26781215, 43.69533646], [7.26781513, 43.6953378], [7.26781774, 43.6953395], [7.2678199, 43.6953415], [7.26782007, 43.6953417], [7.26783066, 43.69533591], [7.26784088, 43.6953453], [7.26783089, 43.69535078], [7.26782915, 43.6953734], [7.26783815, 43.69538149], [7.2678257, 43.6953887], [7.2678167, 43.69538062], [7.26781268, 43.69538046], [7.26781165, 43.69538042]]]}
Victoire (Esplanade des);BA14870A;Jardin;Esplanade des Victoires;Esplanade des Victoire;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.27837907, 43.70203278], [7.27838054, 43.70203492], [7.27848954, 43.70219424], [7.27854283, 43.70227181], [7.27859039, 43.70234188], [7.27874812, 43.70257144], [7.27881863, 43.70267387], [7.27888924, 43.70277756], [7.27898426, 43.70291625], [7.2789898, 43.70292348], [7.27899856, 43.70293158], [7.27900913, 43.70293846], [7.27902119, 43.7029439], [7.27903436, 43.70294775], [7.27904826, 43.70294987], [7.27906245, 43.70295021], [7.2790765, 43.70294876], [7.27909, 43.70294556], [7.27909927, 43.70294217], [7.27915677, 43.70292361], [7.27983958, 43.70270366], [7.27990701, 43.70268187], [7.27990848, 43.70268128], [7.2799101, 43.70268036], [7.27991148, 43.70267924], [7.27991258, 43.70267797], [7.27991334, 43.70267658], [7.27991377, 43.70267511], [7.27991384, 43.70267362], [7.27991355, 43.70267213], [7.27991291, 43.70267071], [7.27991194, 43.70266939], [7.27989153, 43.70264053], [7.27985654, 43.70259183], [7.27984402, 43.70257118], [7.27981841, 43.70252469], [7.27980924, 43.70250994], [7.27968652, 43.70233845], [7.27953773, 43.70212979], [7.27942168, 43.7019682], [7.27927899, 43.70176865], [7.27910619, 43.70152676], [7.2790191, 43.70140566], [7.27899542, 43.70137342], [7.27899225, 43.70136955], [7.27898428, 43.70136217], [7.27897467, 43.70135591], [7.2789637, 43.70135096], [7.27895172, 43.70134747], [7.27893908, 43.70134554], [7.27892617, 43.70134523], [7.27891338, 43.70134655], [7.2789011, 43.70134946], [7.27889433, 43.70135186], [7.27887166, 43.70136033], [7.27880475, 43.70138366], [7.27883423, 43.70142773], [7.27897844, 43.701461], [7.27896274, 43.70149638], [7.27896341, 43.70149682], [7.27900668, 43.70150686], [7.27901119, 43.70150791], [7.2790231, 43.7015114], [7.27903423, 43.70151642], [7.27904398, 43.70152277], [7.27905207, 43.70153025], [7.27905824, 43.70153864], [7.27906231, 43.70154767], [7.27906416, 43.70155709], [7.27906427, 43.70156018], [7.27906414, 43.70156345], [7.27907504, 43.70156599], [7.27906104, 43.70159878], [7.27907147, 43.70161338], [7.27911587, 43.70162372], [7.27910156, 43.7016557], [7.27911592, 43.70167615], [7.27916019, 43.70168618], [7.27914618, 43.70171911], [7.27915644, 43.70173343], [7.27920115, 43.701744], [7.27919744, 43.70175295], [7.27919831, 43.70175323], [7.27920323, 43.70175569], [7.27921303, 43.70176207], [7.27922116, 43.70176959], [7.27922736, 43.70177801], [7.27923145, 43.70178709], [7.27923331, 43.70179655], [7.27923342, 43.70179915], [7.27923301, 43.70180338], [7.27924546, 43.70180627], [7.27924268, 43.70181258], [7.27923135, 43.70183908], [7.27924165, 43.70185367], [7.27928627, 43.70186373], [7.27927217, 43.7018967], [7.27928543, 43.70191576], [7.27933046, 43.7019261], [7.27931664, 43.70195809], [7.27932595, 43.70197358], [7.27937115, 43.70198366], [7.27936761, 43.70199269], [7.27936856, 43.70199288], [7.27937313, 43.70199519], [7.2793831, 43.70200167], [7.27939136, 43.70200932], [7.27939767, 43.70201789], [7.27940183, 43.70202713], [7.27940372, 43.70203675], [7.27940381, 43.70203844], [7.27940324, 43.70204333], [7.27941548, 43.7020462], [7.27940521, 43.70207129], [7.27940143, 43.70208049], [7.27940902, 43.70209265], [7.27945655, 43.70210384], [7.27944176, 43.70213839], [7.27945336, 43.70215529], [7.27950086, 43.70216611], [7.27948614, 43.70220084], [7.27949474, 43.70221308], [7.27954159, 43.70222412], [7.27953697, 43.70223599], [7.27953736, 43.70223612], [7.27954347, 43.70223908], [7.27955215, 43.70224473], [7.27955936, 43.70225139], [7.27956486, 43.70225886], [7.27956848, 43.70226691], [7.27957013, 43.70227529], [7.27957022, 43.70227713], [7.27956973, 43.70228243], [7.27958641, 43.70228655], [7.27957119, 43.70231897], [7.27958163, 43.70233356], [7.27962735, 43.7023441], [7.27961296, 43.70237682], [7.27962529, 43.70239585], [7.27967167, 43.70240646], [7.27965742, 43.7024399], [7.27966748, 43.70245362], [7.27971249, 43.70246411], [7.27969731, 43.7024984], [7.27969644, 43.7024982], [7.279709, 43.70251494], [7.27975367, 43.70252526], [7.27975626, 43.70252586], [7.27975145, 43.70253681], [7.27974985, 43.70254045], [7.27977629, 43.70254657], [7.27980826, 43.70259294], [7.27978799, 43.70263705], [7.27975911, 43.70264784], [7.27972404, 43.7026609], [7.27954577, 43.70272686], [7.27951697, 43.70273736], [7.2794524, 43.70276111], [7.27944491, 43.70276386], [7.27907175, 43.70290109], [7.27906705, 43.70289438], [7.27906175, 43.70288702], [7.27902144, 43.70283112], [7.27902311, 43.70282741], [7.27897879, 43.70281694], [7.27899471, 43.7027815], [7.27898325, 43.7027657], [7.27893497, 43.70275464], [7.27894968, 43.70272151], [7.27893855, 43.70270748], [7.27889392, 43.70269719], [7.27890798, 43.70266429], [7.27889536, 43.70264547], [7.27884959, 43.70263465], [7.27886552, 43.70259968], [7.27885683, 43.70258832], [7.27880902, 43.70257708], [7.27881339, 43.7025676], [7.27881182, 43.70256731], [7.27880625, 43.70256455], [7.27879661, 43.70255828], [7.27878862, 43.70255089], [7.27878252, 43.7025426], [7.2787785, 43.70253368], [7.27877667, 43.70252438], [7.27877663, 43.70251923], [7.27877712, 43.70251737], [7.27876456, 43.70251445], [7.27878041, 43.70248015], [7.27877165, 43.70246782], [7.27872375, 43.70245699], [7.27873915, 43.70242262], [7.27872686, 43.70240506], [7.27867917, 43.70239446], [7.27869459, 43.70236001], [7.27868627, 43.70234766], [7.27863823, 43.70233691], [7.2786401, 43.70233241], [7.27863824, 43.70233198], [7.27863193, 43.70232887], [7.27862123, 43.7023219], [7.27861237, 43.7023137], [7.2786056, 43.7023045], [7.27860113, 43.70229459], [7.2785991, 43.70228427], [7.27859903, 43.70227897], [7.27859979, 43.70227608], [7.27859355, 43.70227465], [7.27860823, 43.70224167], [7.27859823, 43.70222776], [7.27855297, 43.7022169], [7.27856743, 43.70218444], [7.27855379, 43.70216524], [7.27850868, 43.70215481], [7.27852269, 43.70212233], [7.27851216, 43.7021073], [7.27846748, 43.70209709], [7.2784816, 43.70206413], [7.27846831, 43.70204515], [7.27842328, 43.70203472], [7.27843732, 43.70200233], [7.27842725, 43.70198745], [7.27838233, 43.7019769], [7.27839633, 43.70194543], [7.27838258, 43.70192499], [7.27833792, 43.701915], [7.27835194, 43.701882], [7.27834166, 43.70186745], [7.27829684, 43.70185718], [7.27831202, 43.70182288], [7.2783219, 43.70179987], [7.27825197, 43.70178354], [7.27825384, 43.70177925], [7.27825436, 43.70177937], [7.27825719, 43.7017792], [7.27827119, 43.7017471], [7.27823565, 43.70173848], [7.27828123, 43.70163583], [7.278253, 43.70159171], [7.27817867, 43.70161922], [7.27817227, 43.70162193], [7.27816204, 43.70162775], [7.27815336, 43.70163477], [7.27814649, 43.70164278], [7.27814164, 43.70165153], [7.27813896, 43.70166076], [7.27813853, 43.70167019], [7.27814054, 43.70168007], [7.27814861, 43.70169457], [7.2782787, 43.70188611], [7.27834007, 43.70197577], [7.27837907, 43.70203278]]]}
Klein (Place Yves);SK03100A;Jardin;Place Yves Klein (Terrasse du Musee d'Arts Modernes et d'Arts Contemporains MAMAC);Place Yves Klein;;Parc, Jardin et Square;{"type": "MultiPolygon", "coordinates": [[[[7.27819379, 43.70144518], [7.27818415, 43.70144879], [7.27815523, 43.7014596], [7.27818603, 43.70150315], [7.27821597, 43.7014918], [7.27828204, 43.7014668], [7.2783501, 43.70144105], [7.27838032, 43.70137373], [7.27848522, 43.70133462], [7.27857785, 43.70135601], [7.27864588, 43.70133061], [7.27871216, 43.70130588], [7.27874134, 43.70129486], [7.27871076, 43.70125163], [7.2785815, 43.70130048], [7.2785417, 43.70129122], [7.27851982, 43.7012601], [7.27849952, 43.70126787], [7.2785043, 43.70127418], [7.27830083, 43.70135], [7.2782957, 43.70134346], [7.27827601, 43.70135049], [7.27829721, 43.7013814], [7.27828452, 43.70141123], [7.27819379, 43.70144518]]], [[[7.27831577, 43.70162341], [7.27841009, 43.70158784], [7.27844987, 43.70159686], [7.2784673, 43.70162176], [7.27871216, 43.70152957], [7.27869523, 43.70150497], [7.27870703, 43.70147661], [7.27883566, 43.70142826], [7.27883549, 43.70142802], [7.27881572, 43.70140005], [7.27880481, 43.70138463], [7.27877526, 43.70139663], [7.27871029, 43.70142112], [7.27864241, 43.7014467], [7.27861254, 43.70151374], [7.27850728, 43.70155296], [7.27841466, 43.70153175], [7.27834644, 43.70155704], [7.2782796, 43.70158182], [7.27824957, 43.70159298], [7.2782805, 43.70163671], [7.27828091, 43.70163655], [7.27830645, 43.70162692], [7.27831577, 43.70162341]]]]}
Turin (Jardin 149 Route de);AT0451149A;Jardin;Route de Turin, 149;Jardin 149 Route de Turin;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.2876999, 43.72093117], [7.28773388, 43.72090462], [7.28773451, 43.72090412], [7.28783216, 43.72082783], [7.28784548, 43.72081605], [7.28784176, 43.72081357], [7.28785221, 43.72080588], [7.28786055, 43.72079974], [7.28784103, 43.72078666], [7.28774416, 43.72072146], [7.287599, 43.7206238], [7.28749422, 43.72055288], [7.28745415, 43.72052827], [7.28745464, 43.7205279], [7.28744331, 43.72052003], [7.28738544, 43.72051613], [7.28737342, 43.72051532], [7.28732611, 43.72051222], [7.28728804, 43.72057461], [7.28729041, 43.72057652], [7.28731306, 43.7205947], [7.28734897, 43.72062424], [7.28741803, 43.72068312], [7.28750166, 43.72075725], [7.28758377, 43.72083319], [7.28764116, 43.72088997], [7.28764251, 43.72089182], [7.28765602, 43.72091028], [7.28768052, 43.72094375], [7.2876999, 43.72093117]]]}
Caressa (Jardin Charles);SG06190A;Jardin;Rue Humbert Ricolfi / Ruelle Saint-Roch;Jardin Charles Caressa;Giono (Square Jean);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.2909149, 43.7127318], [7.2909183, 43.71275132], [7.29154048, 43.7127008], [7.2915149, 43.7126443], [7.29145718, 43.71264658], [7.29141677, 43.71263009], [7.29139576, 43.71256374], [7.29142735, 43.7125218], [7.29145976, 43.71251471], [7.29138138, 43.7123597], [7.2908636, 43.71239676], [7.29086887, 43.71242764], [7.29079653, 43.71243252], [7.29084674, 43.71273659], [7.2909149, 43.7127318]]]}
Albert 1er (Jardin);AA01650D;Parc;Avenue des Phoceens / Avenue de Verdun / Place Massena / Promenade des Anglais;Jardin Albert 1er;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.26906915, 43.6952895], [7.26906924, 43.69528886], [7.26902227, 43.69528692], [7.26902227, 43.69528689], [7.26902278, 43.69527841], [7.2690214, 43.69526999], [7.26901817, 43.69526183], [7.26901318, 43.69525416], [7.26900655, 43.69524717], [7.26899847, 43.69524104], [7.26898913, 43.69523593], [7.26897878, 43.69523198], [7.26896769, 43.69522928], [7.26895615, 43.69522792], [7.26892041, 43.69522644], [7.26888125, 43.69522481], [7.26877282, 43.69522033], [7.26873546, 43.69521878], [7.26869368, 43.69521706], [7.26865077, 43.69521528], [7.26854812, 43.69521104], [7.26851237, 43.69520957], [7.26842952, 43.69520617], [7.26837781, 43.69520401], [7.26806958, 43.69519127], [7.26806489, 43.69525101], [7.26806419, 43.69525999], [7.26806255, 43.69528088], [7.26804752, 43.69528026], [7.26804448, 43.69531901], [7.26803325, 43.69531855], [7.26803017, 43.69535776], [7.26801894, 43.6953573], [7.26801586, 43.69539651], [7.26800463, 43.69539605], [7.26800156, 43.69543526], [7.26799103, 43.69543483], [7.26799024, 43.69544496], [7.26798952, 43.69545414], [7.2680004, 43.69545773], [7.26803949, 43.69547227], [7.26807502, 43.69549101], [7.26810616, 43.6955135], [7.26813215, 43.6955392], [7.26815238, 43.69556749], [7.26816636, 43.69559771], [7.26817376, 43.69562913], [7.26817516, 43.69562916], [7.26817096, 43.69567228], [7.26814364, 43.69567183], [7.26813414, 43.69570015], [7.26811857, 43.69572702], [7.26809732, 43.69575175], [7.26807094, 43.69577373], [7.26804008, 43.6957924], [7.26800553, 43.69580727], [7.26796817, 43.69581798], [7.26796801, 43.69581916], [7.26796813, 43.69582035], [7.26796853, 43.69582151], [7.26795958, 43.69582017], [7.26792422, 43.69583212], [7.26788273, 43.69584384], [7.26783598, 43.69585156], [7.26778815, 43.69585403], [7.26774037, 43.69585119], [7.26769373, 43.69584311], [7.26765253, 43.69583112], [7.26761921, 43.69581926], [7.26760667, 43.69581571], [7.26757216, 43.69580549], [7.26754021, 43.69579155], [7.26751157, 43.69577424], [7.26748693, 43.69575394], [7.26746685, 43.69573115], [7.26745182, 43.6957064], [7.26744219, 43.69568027], [7.26743818, 43.69565338], [7.26741472, 43.69565301], [7.26740939, 43.69562298], [7.26741808, 43.6955897], [7.26743423, 43.69555793], [7.26745741, 43.69552854], [7.26748697, 43.69550233], [7.26752209, 43.69548004], [7.26756182, 43.69546227], [7.26760506, 43.69544951], [7.2676059, 43.6954388], [7.26760666, 43.69542911], [7.26760745, 43.69541897], [7.26759631, 43.69541851], [7.26759939, 43.6953793], [7.26758816, 43.69537884], [7.26759124, 43.69533962], [7.26758001, 43.69533916], [7.26758309, 43.69529994], [7.26757186, 43.69529948], [7.2675749, 43.69526072], [7.26755984, 43.6952601], [7.26756078, 43.69524825], [7.26756148, 43.69523922], [7.26756688, 43.69517049], [7.26741756, 43.69516432], [7.26725132, 43.69515745], [7.26659784, 43.69513044], [7.26657392, 43.69516071], [7.26658103, 43.69516295], [7.26654737, 43.69519431], [7.26651413, 43.69523637], [7.26655464, 43.69530178], [7.2666376, 43.69543574], [7.26671759, 43.69556534], [7.26677031, 43.6956497], [7.26677737, 43.69566099], [7.26677978, 43.69566485], [7.26683988, 43.69575697], [7.26688816, 43.69582106], [7.26694488, 43.69588141], [7.26700399, 43.69593309], [7.26706929, 43.69598069], [7.26713326, 43.69601993], [7.26720144, 43.69605525], [7.26724993, 43.69607689], [7.26734364, 43.69611616], [7.26741292, 43.69614518], [7.26747196, 43.69616992], [7.26770756, 43.69626876], [7.26770391, 43.69628035], [7.26770207, 43.69628621], [7.26774689, 43.69630499], [7.26782163, 43.69633155], [7.26900071, 43.69682805], [7.26908652, 43.69686377], [7.26917005, 43.69689735], [7.2693014, 43.69694728], [7.26937125, 43.69697542], [7.26965535, 43.69709559], [7.26974417, 43.69695552], [7.26993301, 43.6966577], [7.27001874, 43.6965225], [7.27002955, 43.69650545], [7.2699169, 43.69647061], [7.26969488, 43.69640047], [7.26965594, 43.6963887], [7.26938627, 43.69630466], [7.26933621, 43.69628848], [7.26921714, 43.69625132], [7.26917196, 43.69623377], [7.26913017, 43.69621226], [7.26909241, 43.69618713], [7.26906338, 43.696164], [7.26903913, 43.69613814], [7.26902013, 43.69611006], [7.26900676, 43.69608033], [7.26899482, 43.69603973], [7.26899091, 43.69599832], [7.26899681, 43.69585753], [7.268999, 43.6957986], [7.26897817, 43.6957525], [7.2689793, 43.69572561], [7.26898414, 43.69567925], [7.26896391, 43.69567891], [7.26896142, 43.69564534], [7.26896672, 43.69557774], [7.26903302, 43.69554296], [7.26906915, 43.6952895]]]}
Ferrero (Jardin Cardinal Clement);SV05720A;Jardin;Rue Alfred Mortier / Rue de l'EscArene / Avenue Saint-Jean-Baptiste;Jardin Cardinal Clement Ferrero;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.27663143, 43.70041782], [7.27663818, 43.70042879], [7.27662972, 43.70043173], [7.27671018, 43.70055396], [7.27671829, 43.70055118], [7.2767259, 43.70056204], [7.27672996, 43.70056815], [7.2767326, 43.70057466], [7.27673374, 43.7005814], [7.27673337, 43.70058818], [7.27673147, 43.70059482], [7.27672812, 43.70060116], [7.27672339, 43.70060701], [7.27671741, 43.70061223], [7.27671035, 43.70061668], [7.27670238, 43.70062023], [7.27664054, 43.70064161], [7.27664963, 43.7006554], [7.27669441, 43.70063988], [7.27670227, 43.70063715], [7.27717746, 43.70047248], [7.27700293, 43.7002074], [7.2764751, 43.70039031], [7.27649204, 43.70041604], [7.27654854, 43.70039656], [7.27655757, 43.70039348], [7.2765672, 43.70039157], [7.27657714, 43.7003909], [7.27658709, 43.70039147], [7.27659676, 43.70039329], [7.27660585, 43.70039628], [7.27661409, 43.70040037], [7.27662123, 43.70040543], [7.27662707, 43.7004113], [7.27663143, 43.70041782]]]}
Pompidou (Esplanade Georges);BA16150A;Jardin;Rue Sulzer / Quai des Etats-Unis;Esplanade Georges Pompidou;Sulzer (Jardin Rue);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.27131874, 43.6956577], [7.27132405, 43.69555997], [7.27135369, 43.69556082], [7.27135432, 43.69554913], [7.27136201, 43.69554935], [7.27136138, 43.69556374], [7.27140546, 43.695565], [7.27140716, 43.69554297], [7.27141355, 43.6955432], [7.27141827, 43.69539292], [7.27141488, 43.69539294], [7.27141715, 43.69534254], [7.27142271, 43.69521394], [7.27114275, 43.69520674], [7.2711437, 43.69520406], [7.27108059, 43.69520243], [7.27108051, 43.69520513], [7.27098551, 43.69520268], [7.27098047, 43.6953057], [7.27089856, 43.69530329], [7.27089783, 43.69532588], [7.27090118, 43.69532587], [7.27088855, 43.69555784], [7.27088639, 43.69559759], [7.27079716, 43.69559504], [7.27079449, 43.69564198], [7.27107215, 43.6956503], [7.27107206, 43.69565282], [7.27113467, 43.6956547], [7.27113485, 43.69565218], [7.27131874, 43.6956577]]]}
Caucade (Crypte du Cimetiere de);SC05885D;Cimetiere;Avenue Sainte-Marguerite, 89 / Place de Caucade / Boulevard du Souvenir Fançais / Rue Alphonse 1er, 11;Crypte du Cimetière de Caucade;;Cimetiere;{"type": "Polygon", "coordinates": [[[7.21977013, 43.67618542], [7.21979947, 43.6761613], [7.21965641, 43.67603367], [7.21964617, 43.67601753], [7.21964816, 43.67600098], [7.21966099, 43.6759854], [7.22031678, 43.67560658], [7.2203376, 43.67549961], [7.21933652, 43.67540393], [7.2191582, 43.67543484], [7.21908619, 43.67545772], [7.21881161, 43.67554913], [7.21977013, 43.67618542]]]}
Carpeaux (Square Jean Baptiste);SJ00880A;Parc;Avenue Georges Sand / Avenue Châteaubriand;Square Jean Baptiste Carpeaux;Chambrun (Parc);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.26243687, 43.72368155], [7.26243858, 43.72368727], [7.26244541, 43.72368909], [7.2624605, 43.72368595], [7.26246525, 43.72368113], [7.26246719, 43.72368152], [7.26250343, 43.72363658], [7.26268641, 43.7235264], [7.26271143, 43.72350667], [7.26281732, 43.72344558], [7.26292678, 43.7233767], [7.26306703, 43.72329273], [7.26309068, 43.72329319], [7.2631844, 43.72323582], [7.26317967, 43.72322813], [7.26317807, 43.7232194], [7.26317816, 43.72308791], [7.2631792, 43.72308046], [7.26322706, 43.72302442], [7.26339644, 43.72280458], [7.26342009, 43.72276639], [7.26343466, 43.72273063], [7.26343591, 43.72272178], [7.26344976, 43.7226592], [7.2633816, 43.72263109], [7.26338268, 43.7226285], [7.26318212, 43.72255418], [7.26315098, 43.72259036], [7.26312108, 43.72261746], [7.26308366, 43.72264207], [7.26305516, 43.722658], [7.26302865, 43.72267062], [7.26299789, 43.72268313], [7.26297398, 43.72269081], [7.2629499, 43.72269755], [7.26291519, 43.72270284], [7.26287876, 43.72269802], [7.26288359, 43.72269436], [7.26275764, 43.72261897], [7.26275279, 43.7226224], [7.2626774, 43.72258299], [7.26262472, 43.72254848], [7.26257642, 43.72251287], [7.26248842, 43.72244132], [7.26241623, 43.72238489], [7.262399, 43.72237214], [7.26235567, 43.72233888], [7.26228137, 43.72228832], [7.26220066, 43.72235746], [7.26213323, 43.72241635], [7.26196561, 43.72255718], [7.26196523, 43.72255627], [7.26181557, 43.72268112], [7.26169029, 43.72278602], [7.26168693, 43.72278801], [7.2617207, 43.72283437], [7.26172355, 43.72283403], [7.26180546, 43.72296091], [7.26183972, 43.72300957], [7.26184441, 43.72300823], [7.26185509, 43.72302309], [7.26185078, 43.72302511], [7.26187502, 43.72305495], [7.26187256, 43.7230562], [7.26190341, 43.72308902], [7.26190531, 43.72308872], [7.26194707, 43.72312666], [7.26200149, 43.72316736], [7.26207351, 43.72321291], [7.26219352, 43.72328136], [7.2622695, 43.72332862], [7.26230558, 43.72335452], [7.26233466, 43.72338069], [7.26236797, 43.72342082], [7.26237605, 43.72342213], [7.26238274, 43.7234177], [7.26240856, 43.72345141], [7.26240539, 43.72346033], [7.26240701, 43.72346929], [7.26242062, 43.72350626], [7.26242515, 43.72352414], [7.26242796, 43.72354046], [7.26243432, 43.7236173], [7.26243687, 43.72368155]]]}
Castel des Deux Rois (Parc du);SC01660A;Parc;Avenue du Mont-Alban / Chemin du Fort Thaon;Parc du Castel des Deux Rois;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.29326948, 43.69999563], [7.29313307, 43.70003997], [7.29299885, 43.70002179], [7.29296285, 43.70000074], [7.29280343, 43.69990181], [7.29240575, 43.69975005], [7.29230377, 43.69970965], [7.29214227, 43.69963063], [7.29204829, 43.6995799], [7.29199656, 43.69955098], [7.29191804, 43.69951362], [7.2917395, 43.69943677], [7.2916938, 43.69947003], [7.29144822, 43.69938034], [7.29139846, 43.69948983], [7.29142229, 43.69949779], [7.29135011, 43.69963688], [7.2913436, 43.69966196], [7.29117912, 43.69994703], [7.29103628, 43.69995101], [7.29059126, 43.6999741], [7.29030478, 43.70003358], [7.29002764, 43.7001486], [7.28983576, 43.70016122], [7.2898338, 43.70036378], [7.28982054, 43.70051621], [7.28981023, 43.70063819], [7.28980831, 43.70065912], [7.28979905, 43.70078738], [7.28981303, 43.70079568], [7.28980949, 43.70079877], [7.28985094, 43.70082094], [7.28987563, 43.70082881], [7.28992386, 43.70084487], [7.28998885, 43.70085958], [7.29009728, 43.70088038], [7.2901707, 43.70089897], [7.29022866, 43.70091291], [7.29022971, 43.70091139], [7.29088776, 43.70104916], [7.29108552, 43.70106651], [7.2917591, 43.70106025], [7.29218989, 43.70109562], [7.29296477, 43.70116119], [7.2929751, 43.70114483], [7.29299636, 43.70111205], [7.29298982, 43.70109721], [7.29289391, 43.70104991], [7.29281196, 43.70106659], [7.29276546, 43.70101755], [7.29270454, 43.70089789], [7.29269509, 43.70083693], [7.29272492, 43.70077976], [7.29279906, 43.7007916], [7.29303081, 43.70051316], [7.29308071, 43.70045062], [7.29313671, 43.70037059], [7.29320928, 43.70015192], [7.29326948, 43.69999563]]]}
Moretti (Jardin Fernand);BA15680A;Jardin;Avenue de La Bornala (apres groupe scolaire);Jardin Fernand Moretti;Bornala (Jardin Rue de la);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.23722812, 43.69478872], [7.23776644, 43.69449108], [7.23779557, 43.69447504], [7.23783241, 43.6944546], [7.2380009, 43.69435894], [7.23800304, 43.6943547], [7.23800063, 43.69435158], [7.2378073, 43.69442686], [7.23780824, 43.69442805], [7.23773238, 43.69445786], [7.23766438, 43.69447719], [7.23766336, 43.6944753], [7.237544, 43.69450878], [7.23749657, 43.69452803], [7.23749636, 43.6945292], [7.23745741, 43.69454764], [7.23742873, 43.69455919], [7.23728664, 43.69462012], [7.23728582, 43.69461917], [7.23720949, 43.69465014], [7.23711715, 43.69468394], [7.23711245, 43.69468507], [7.23712489, 43.69469905], [7.23709674, 43.69470931], [7.23710361, 43.69471875], [7.2370874, 43.69472492], [7.23703998, 43.69474296], [7.23706685, 43.69474631], [7.2370765, 43.69474129], [7.23708121, 43.69474602], [7.23708921, 43.69474173], [7.23709734, 43.69473804], [7.23710614, 43.6947353], [7.23711542, 43.69473357], [7.23712496, 43.69473288], [7.23713453, 43.69473327], [7.23714391, 43.69473471], [7.23715287, 43.69473717], [7.2371612, 43.69474061], [7.23718422, 43.69476215], [7.23718696, 43.69476915], [7.23718813, 43.69477638], [7.2371877, 43.69478365], [7.23718568, 43.69479078], [7.23718212, 43.69479758], [7.2371771, 43.69480388], [7.23717077, 43.69480953], [7.23716328, 43.69481437], [7.23717003, 43.69482084], [7.23722812, 43.69478872]]]}
Jotte Latouche (Jardin Emilie);SJ00340A;Jardin;"Boulevard de la Madeleine, 202 (a cote ""ALTHOEA"")";Jardin Emilie Jotté Latouche;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.23532453, 43.70334581], [7.23519495, 43.7034201], [7.23530111, 43.70351725], [7.23532062, 43.70350567], [7.23535967, 43.70348324], [7.23550494, 43.70361601], [7.23554445, 43.70359311], [7.2355649, 43.70356067], [7.23554526, 43.7034653], [7.23546292, 43.70342071], [7.23543847, 43.70340752], [7.23532453, 43.70334581]]]}
