Hauts-de-France par commune( 2018),,,
,,Indic1,
60324,Jaulzy,0,531
60325,Jaux,0,724
60326,Jonquières,0,794
60327,Jouy-sous-Thelle,0,557
60328,Juvignies,0,588
60329,Laberlière,0,58
60330,Laboissière-en-Thelle,0,593
60331,Labosse,0,69
60332,Labruyère,0,577
60333,Lachapelle-aux-Pots,0,647
60334,Lachapelle-Saint-Pierre,0,614
60335,Lachapelle-sous-Gerberoy,0,607
60336,Lachaussée-du-Bois-d'Écu,0,551
60337,Lachelle,0,781
60338,Lacroix-Saint-Ouen,0,68
60339,Lafraye,0,624
60340,Lagny,0,574
60341,Lagny-le-Sec,0,632
60342,Laigneville,0,598
60343,Lalande-en-Son,0,616
60344,Lalandelle,0,668
60345,Lamécourt,0,581
60346,Lamorlaye,0,812
60347,Lannoy-Cuillère,0,486
60348,Larbroye,0,471
60350,Lassigny,0,581
60351,Lataule,0,644
60352,Lattainville,0,634
60353,Lavacquerie,0,542
60354,Laverrière,N/A - résultat non disponible,
60355,Laversines,0,611
60356,Lavilletertre,0,563
60357,Léglantiers,0,565
60358,Lévignen,0,604
60359,Lhéraule,0,679
60360,Liancourt,0,495
60361,Liancourt-Saint-Pierre,0,633
60362,Libermont,0,419
60363,Lierville,0,626
60364,Lieuvillers,0,55
60365,Lihus,0,564
60366,Litz,0,602
60367,Loconville,0,545
60368,Longueil-Annel,0,545
60369,Longueil-Sainte-Marie,0,667
60370,Lormaison,0,542
60371,Loueuse,0,53
60372,Luchy,0,554
60373,Machemont,0,629
60374,Maignelay-Montigny,0,53
60375,Maimbeville,0,613
60376,Maisoncelle-Saint-Pierre,0,583
60377,Maisoncelle-Tuilerie,0,546
60378,Marest-sur-Matz,0,648
60379,Mareuil-la-Motte,0,612
60380,Mareuil-sur-Ourcq,0,538
60381,Margny-aux-Cerises,0,574
60382,Margny-lès-Compiègne,0,592
60383,Margny-sur-Matz,0,649
60385,Marolles,0,505
60386,Marquéglise,0,613
60387,Marseille-en-Beauvaisis,0,473
60388,Martincourt,0,561
60389,Maucourt,0,454
60390,Maulers,0,621
60391,Maysel,0,635
60392,Mélicocq,0,622
60393,Mello,0,625
60394,Ménévillers,0,665
60395,Méru,0,423
60396,Méry-la-Bataille,0,514
60397,Le Mesnil-Conteville,N/A - résultat non disponible,
60398,Le Mesnil-en-Thelle,0,728
60399,Le Mesnil-Saint-Firmin,0,526
60400,Le Mesnil-sur-Bulles,0,57
60401,Le Mesnil-Théribus,0,55
60402,Le Meux,0,734
60403,Milly-sur-Thérain,0,658
60404,Mogneville,0,615
60405,Moliens,0,47
60406,Monceaux,0,688
60407,Monceaux-l'Abbaye,0,459
60408,Monchy-Humières,0,67
60409,Monchy-Saint-Éloi,0,586
60410,Mondescourt,0,445
60411,Monneville,0,621
60412,Montagny-en-Vexin,0,659
60413,Montagny-Sainte-Félicité,0,596
60414,Montataire,0,424
60415,Montépilloy,0,838
60416,Montgérain,0,531
60418,Montiers,0,614
60420,Montjavoult,0,635
60421,Mont-l'Évêque,0,751
60422,Montlognon,0,642
60423,Montmacq,0,605
60424,Montmartin,0,661
60425,Montreuil-sur-Brêche,0,576
60426,Montreuil-sur-Thérain,0,58
60427,Monts,0,588
60428,Le Mont-Saint-Adrien,0,812
60429,Morangles,0,775
60430,Morienval,0,62
60431,Morlincourt,0,52
60432,Mortefontaine,0,86
60433,Mortefontaine-en-Thelle,0,637
60434,Mortemer,0,608
60435,Morvillers,0,543
60436,Mory-Montcrux,N/A - résultat non disponible,
60437,Mouchy-le-Châtel,N/A - résultat non disponible,
60438,Moulin-sous-Touvent,0,572
60439,Mouy,0,505
60440,Moyenneville,0,604
60441,Moyvillers,0,662
60442,Muidorge,0,545
60443,Muirancourt,0,435
60444,Mureaumont,0,558
60445,Nampcel,0,52
60446,Nanteuil-le-Haudouin,0,563
60447,Néry,0,615
60448,Neufchelles,0,578
60449,Neufvy-sur-Aronde,0,673
60450,Neuilly-en-Thelle,0,573
60451,Neuilly-sous-Clermont,0,612
60452,Neuville-Bosc,0,67
60454,La Neuville-en-Hez,0,62
60455,La Neuville-Garnier,0,591
60456,La Neuville-Roy,0,603
60457,La Neuville-Saint-Pierre,0,579
60458,La Neuville-sur-Oudeuil,0,563
60459,La Neuville-sur-Ressons,0,634
60460,La Neuville-Vault,0,61
60461,Nivillers,0,65
60462,Noailles,0,532
60463,Nogent-sur-Oise,0,446
60464,Nointel,0,622
60465,Noirémont,0,588
60466,Noroy,0,596
60468,Nourard-le-Franc,0,529
60469,Novillers,0,585
60470,Noyers-Saint-Martin,0,536
60471,Noyon,0,35
60472,Offoy,0,551
60473,Ognes,0,65
60474,Ognolles,0,594
60475,Ognon,0,758
60476,Omécourt,0,55
60477,Ons-en-Bray,0,655
60478,Ormoy-le-Davien,0,587
60479,Ormoy-Villers,0,582
60480,Oroër,0,655
60481,Orrouy,0,633
60482,Orry-la-Ville,0,845
60483,Orvillers-Sorel,0,6
60484,Oudeuil,0,624
60485,Oursel-Maison,0,45
60486,Paillart,0,491
60487,Parnes,0,628
60488,Passel,0,464
60489,Péroy-les-Gombries,0,623
60490,Pierrefitte-en-Beauvaisis,0,689
60491,Pierrefonds,0,721
60492,Pimprez,0,609
60493,Pisseleu,0,587
60494,Plailly,0,81
60495,Plainval,0,557
60496,Plainville,0,486
60497,Le Plessier-sur-Bulles,0,545
60498,Le Plessier-sur-Saint-Just,0,515
60499,Plessis-de-Roye,0,6
60500,Le Plessis-Belleville,0,588
60501,Le Plessis-Brion,0,627
60502,Le Plessis-Patte-d'Oie,0,502
60503,Le Ployron,0,565
60504,Ponchon,0,575
60505,Pontarmé,0,814
60506,Pont-l'Évêque,0,408
60507,Pontoise-lès-Noyon,0,475
60508,Pontpoint,0,66
60509,Pont-Sainte-Maxence,0,54
60510,Porcheux,0,699
60511,Porquéricourt,0,497
60512,Pouilly,0,626
60513,Précy-sur-Oise,0,667
60514,Prévillers,0,546
60515,Pronleroy,0,592
60516,Puiseux-en-Bray,0,558
60517,Puiseux-le-Hauberger,0,571
60518,Puits-la-Vallée,0,583
60519,Quesmy,0,458
60520,Le Quesnel-Aubry,0,578
60521,Quincampoix-Fleuzy,0,479
60522,Quinquempoix,0,434
60523,Rainvillers,0,726
60524,Rantigny,0,558
60525,Raray,0,769
60526,Ravenel,0,512
60527,Réez-Fosse-Martin,0,562
60528,Reilly,0,619
60529,Rémécourt,N/A - résultat non disponible,
60530,Rémérangles,0,6
60531,Remy,0,603
60533,Ressons-sur-Matz,0,549
60534,Rethondes,0,695
60535,Reuil-sur-Brêche,0,593
60536,Rhuis,0,756
60537,Ribécourt-Dreslincourt,0,545
60538,Ricquebourg,0,603
60539,Rieux,0,653
60540,Rivecourt,0,584
60541,Roberval,0,674
60542,Rochy-Condé,0,588
60543,Rocquemont,0,674
60544,Rocquencourt,0,532
60545,Romescamps,0,405
60546,Rosières,0,654
60547,Rosoy,0,628
60548,Rosoy-en-Multien,0,536
60549,Rotangy,0,566
60550,Rothois,0,575
60551,Rousseloy,0,633
60552,Rouville,0,688
60553,Rouvillers,0,661
60554,Rouvres-en-Multien,0,578
60555,Rouvroy-les-Merles,N/A - résultat non disponible,
60556,Royaucourt,0,581
60557,Roy-Boissy,0,614
60558,Roye-sur-Matz,0,58
60559,La Rue-Saint-Pierre,0,612
60560,Rully,0,741
60561,Russy-Bémont,0,631
60562,Sacy-le-Grand,0,664
60563,Sacy-le-Petit,0,635
60564,Sains-Morainvillers,0,571
60565,Saint-André-Farivillers,0,556
60566,Saint-Arnoult,0,494
60567,Saint-Aubin-en-Bray,0,6
60568,Saint-Aubin-sous-Erquery,0,606
60569,Saint-Crépin-aux-Bois,0,74
60570,Saint-Crépin-Ibouvillers,0,575
60571,Saint-Deniscourt,N/A - résultat non disponible,
60572,Saint-Étienne-Roilaye,0,674
60573,Sainte-Eusoye,0,581
60574,Saint-Félix,0,594
60575,Sainte-Geneviève,0,523
60576,Saint-Germain-la-Poterie,0,758
60577,Saint-Germer-de-Fly,0,524
60578,Saintines,0,593
60579,Saint-Jean-aux-Bois,0,852
60581,Saint-Just-en-Chaussée,0,454
60582,Saint-Léger-aux-Bois,0,635
60583,Saint-Léger-en-Bray,0,669
60584,Saint-Leu-d'Esserent,0,581
60585,Saint-Martin-aux-Bois,0,558
60586,Saint-Martin-le-Noeud,0,714
60587,Saint-Martin-Longueau,0,627
60588,Saint-Maur,0,489
60589,Saint-Maximin,0,607
60590,Saint-Omer-en-Chaussée,0,548
60591,Saint-Paul,0,747
60592,Saint-Pierre-es-Champs,0,553
60593,Saint-Pierre-lès-Bitry,0,625
60594,Saint-Quentin-des-Prés,0,549
60595,Saint-Remy-en-l'Eau,0,58
60596,Saint-Samson-la-Poterie,0,558
60597,Saint-Sauveur,0,657
60598,Saint-Sulpice,0,581
60599,Saint-Thibault,0,434
60600,Saint-Vaast-de-Longmont,0,649
60601,Saint-Vaast-lès-Mello,0,577
60602,Saint-Valery,N/A - résultat non disponible,
60603,Salency,0,488
60604,Sarcus,0,464
60605,Sarnois,0,526
60608,Le Saulchoy,0,591
60609,Savignies,0,759
60610,Sempigny,0,477
60611,Senantes,0,505
60612,Senlis,0,768
60613,Senots,0,599
60614,Serans,0,618
60615,Sérévillers,0,487
60616,Sérifontaine,0,582
60617,Sermaize,0,443
60618,Séry-Magneval,0,686
60619,Silly-le-Long,0,63
60620,Silly-Tillard,0,594
60621,Solente,0,446
60622,Sommereux,0,526
60623,Songeons,0,478
60624,Sully,0,532
60625,Suzoy,0,494
60626,Talmontiers,0,543
60627,Tartigny,0,508
60628,Therdonne,0,624
60629,Thérines,0,536
60630,Thibivillers,0,627
60631,Thiers-sur-Thève,0,798
60632,Thiescourt,0,578
60633,Thieuloy-Saint-Antoine,0,468
60634,Thieux,0,544
60635,Thiverny,0,499
60636,Thourotte,0,539
60637,Thury-en-Valois,0,572
60638,Thury-sous-Clermont,0,632
60639,Tillé,0,574
60640,Tourly,0,588
60641,Tracy-le-Mont,0,629
60642,Tracy-le-Val,0,645
60643,Tricot,0,472
60644,Trie-Château,0,549
60645,Trie-la-Ville,0,532
60646,Troissereux,0,613
60647,Trosly-Breuil,0,572
60648,Troussencourt,0,563
60650,Trumilly,0,618
60651,Ully-Saint-Georges,0,62
60652,Valdampierre,0,573
60653,Valescourt,0,533
60654,Vandélicourt,0,617
60655,Varesnes,0,495
60656,Varinfroy,0,59
60657,Vauchelles,0,425
60658,Vauciennes,0,575
60659,Vaudancourt,0,646
60660,Le Vaumain,0,687
60661,Vaumoise,0,572
60662,Le Vauroux,0,653
60663,Velennes,0,628
60664,Vendeuil-Caply,0,543
60665,Venette,0,648
60666,Ver-sur-Launette,0,63
60667,Verberie,0,574
60668,Verderel-lès-Sauqueuse,0,654
60669,Verderonne,0,699
60670,Verneuil-en-Halatte,0,63
60671,Versigny,0,63
60672,Vez,0,571
60673,Viefvillers,0,569
60674,Vieux-Moulin,0,835
60675,Vignemont,0,638
60676,Ville,0,512
60677,Villembray,0,618
60678,Villeneuve-les-Sablons,0,59
60679,La Villeneuve-sous-Thury,0,537
60680,Villeneuve-sur-Verberie,0,694
60681,Villers-Saint-Barthélemy,0,707
60682,Villers-Saint-Frambourg,0,813
60683,Villers-Saint-Genest,0,618
60684,Villers-Saint-Paul,0,513
60685,Villers-Saint-Sépulcre,0,55
60686,Villers-sous-Saint-Leu,0,65
60687,Villers-sur-Auchy,0,536
60688,Villers-sur-Bonnières,0,626
60689,Villers-sur-Coudun,0,743
60691,Villers-Vermont,0,472
60692,Villers-Vicomte,0,495
60693,Villeselve,0,477
60694,Villotran,0,563
60695,Vineuil-Saint-Firmin,0,848
60697,Vrocourt,N/A - résultat non disponible,
60698,Wacquemoulin,0,547
60699,Wambez,0,595
60700,Warluis,0,677
60701,Wavignies,0,518
60702,Welles-Pérennes,0,564
60703,Aux Marais,0,689
62001,Ablain-Saint-Nazaire,0,455
62002,Ablainzevelle,0,52
62003,Acheville,0,472
62004,Achicourt,0,585
62005,Achiet-le-Grand,0,432
62006,Achiet-le-Petit,0,451
62007,Acq,0,681
62008,Acquin-Westbécourt,0,577
62009,Adinfer,0,635
62010,Affringues,0,579
62011,Agnez-lès-Duisans,0,646
62012,Agnières,0,683
62013,Agny,0,655
62014,Aire-sur-la-Lys,0,424
62015,Airon-Notre-Dame,0,522
62016,Airon-Saint-Vaast,0,448
62017,Aix-en-Ergny,0,435
62018,Aix-en-Issart,0,394
62019,Aix-Noulette,0,404
62020,Alembon,0,452
62021,Alette,0,525
62022,Alincthun,0,483
62023,Allouagne,0,423
62024,Alquines,0,491
62025,Ambleteuse,0,494
62026,Ambricourt,0,396
62027,Ambrines,0,565
62028,Ames,0,4
62029,Amettes,0,418
62030,Amplier,0,533
62031,Andres,0,463
62032,Angres,0,326
62033,Annay,0,367
62034,Annequin,0,394
62035,Annezin,0,546
62036,Anvin,0,433
62037,Anzin-Saint-Aubin,0,719
62038,Ardres,0,424
62039,Arleux-en-Gohelle,0,601
62040,Arques,0,4
62041,Arras,0,533
62042,Athies,0,59
62043,Les Attaques,0,462
62044,Attin,0,434
62045,Aubigny-en-Artois,0,559
62046,Aubin-Saint-Vaast,0,316
62047,Aubrometz,0,484
62048,Auchel,0,223
62049,Auchy-au-Bois,0,413
62050,Auchy-lès-Hesdin,0,243
62051,Auchy-les-Mines,0,375
62052,Audembert,0,646
62053,Audincthun,0,384
62054,Audinghen,0,505
62055,Audrehem,0,504
62056,Audresselles,0,477
62057,Audruicq,0,505
62058,Aumerval,0,491
62059,Autingues,0,585
62060,Auxi-le-Château,0,228
62061,Averdoingt,0,483
62062,Avesnes,N/A - résultat non disponible,
62063,Avesnes-le-Comte,0,491
62064,Avesnes-lès-Bapaume,0,428
62065,Avion,0,239
62066,Avondance,N/A - résultat non disponible,
62067,Avroult,0,433
62068,Ayette,0,472
62069,Azincourt,0,34
62070,Bailleul-aux-Cornailles,0,507
62071,Bailleul-lès-Pernes,0,519
62072,Bailleulmont,0,55
62073,Bailleul-Sir-Berthoult,0,638
62074,Bailleulval,0,607
62075,Baincthun,0,556
62076,Bainghen,0,472
62077,Bajus,0,503
62078,Balinghem,0,486
62079,Bancourt,N/A - résultat non disponible,
62080,Bapaume,0,351
62081,Baralle,0,455
62082,Barastre,0,437
62083,Barlin,0,317
62084,Barly,0,524
62085,Basseux,0,657
62086,Bavincourt,0,598
62087,Bayenghem-lès-Éperlecques,0,513
62088,Bayenghem-lès-Seninghem,0,592
62089,Bazinghen,0,62
62090,Béalencourt,0,354
62091,Beaudricourt,N/A - résultat non disponible,
62092,Beaufort-Blavincourt,0,564
62093,Beaulencourt,0,398
62094,Beaumerie-Saint-Martin,0,466
62095,Beaumetz-lès-Aire,0,307
62096,Beaumetz-lès-Cambrai,0,426
62097,Beaumetz-lès-Loges,0,574
62099,Beaurains,0,611
62100,Beaurainville,0,329
62101,Beauvois,0,456
62102,Bécourt,0,501
62103,Béhagnies,0,492
62104,Bellebrune,0,601
62105,Belle-et-Houllefort,0,575
62106,Bellonne,0,638
62107,Bénifontaine,0,555
62108,Berck,0,378
62109,Bergueneuse,0,423
62111,Berlencourt-le-Cauroy,0,542
62112,Berles-au-Bois,0,534
62113,Berles-Monchel,0,584
62114,Bermicourt,0,528
62115,Berneville,0,637
62116,Bernieulles,0,453
62117,Bertincourt,0,417
62118,Béthonsart,0,547
62119,Béthune,0,481
62120,Beugin,0,491
62121,Beugnâtre,0,408
62122,Beugny,0,447
62123,Beussent,0,522
62124,Beutin,0,449
62125,Beuvrequen,0,58
62126,Beuvry,0,438
62127,Bezinghem,0,575
62128,Biache-Saint-Vaast,0,512
62129,Biefvillers-lès-Bapaume,N/A - résultat non disponible,
62130,Bienvillers-au-Bois,0,58
62131,Bihucourt,0,448
62132,Billy-Berclau,0,453
62133,Billy-Montigny,0,32
62134,Bimont,0,494
62135,Blairville,0,592
62137,Blangerval-Blangermont,0,519
62138,Blangy-sur-Ternoise,0,289
62139,Blendecques,0,431
62140,Bléquin,0,533
62141,Blessy,0,467
62142,Blingel,0,343
62143,Boffles,N/A - résultat non disponible,
62144,Boiry-Becquerelle,0,682
62145,Boiry-Notre-Dame,0,551
62146,Boiry-Saint-Martin,0,56
62147,Boiry-Sainte-Rictrude,0,621
62148,Bois-Bernard,0,495
62149,Boisdinghem,0,597
62150,Boisjean,0,405
62151,Boisleux-au-Mont,0,614
62152,Boisleux-Saint-Marc,0,667
62153,Bomy,0,406
62154,Bonnières,0,458
62155,Bonningues-lès-Ardres,0,521
62156,Bonningues-lès-Calais,0,687
62157,Boubers-lès-Hesmond,N/A - résultat non disponible,
62158,Boubers-sur-Canche,0,399
62160,Boulogne-sur-Mer,0,236
62161,Bouquehault,0,427
62162,Bourecq,0,4
62163,Bouret-sur-Canche,0,5
62164,Bourlon,0,501
62165,Bournonville,0,472
62166,Bours,0,56
62167,Boursin,0,533
62168,Bourthes,0,51
62169,Bouvelinghem,0,505
62170,Bouvigny-Boyeffles,0,407
62171,Boyaval,0,454
62172,Boyelles,0,655
62173,Brebières,0,545
62174,Brêmes,0,479
62175,Brévillers,0,398
62176,Bréxent-Énocq,0,503
62177,Brimeux,0,388
62178,Bruay-la-Buissière,0,313
62179,Brunembert,0,51
62180,Brias,0,517
62181,Bucquoy,0,43
62182,Buire-au-Bois,0,357
62183,Buire-le-Sec,0,29
62184,Buissy,0,542
62185,Bullecourt,0,477
62186,Bully-les-Mines,0,29
62187,Buneville,0,498
62188,Burbure,0,366
62189,Bus,0,396
62190,Busnes,0,445
62191,Caffiers,0,35
62192,Cagnicourt,0,532
62193,Calais,0,292
62194,Calonne-Ricouart,0,251
62195,Calonne-sur-la-Lys,0,428
62196,La Calotterie,0,444
62197,Camblain-Châtelain,0,34
62198,Cambligneul,0,589
62199,Camblain-l'Abbé,0,635
62200,Cambrin,0,439
62201,Camiers,0,436
62202,Campagne-lès-Boulonnais,0,483
62203,Campagne-lès-Guines,0,514
62204,Campagne-lès-Hesdin,0,336
62205,Campagne-lès-Wardrecques,0,548
62206,Campigneulles-les-Grandes,0,551
62207,Campigneulles-les-Petites,0,501
62208,Canettemont,N/A - résultat non disponible,
62209,Canlers,0,408
62210,Canteleux,N/A - résultat non disponible,
62211,Capelle-Fermont,0,664
62212,Capelle-lès-Hesdin,0,372
62213,Carency,0,483
62214,Carly,0,554
62215,Carvin,0,368
62216,La Cauchie,0,556
62217,Cauchy-à-la-Tour,0,295
62218,Caucourt,0,48
62219,Caumont,0,362
62220,Cavron-Saint-Martin,0,391
62221,Chelers,0,51
62222,Chériennes,0,342
62223,Chérisy,0,518
62224,Chocques,0,502
62225,Clairmarais,0,51
62227,Clenleu,0,568
62228,Clerques,0,546
62229,Cléty,0,59
62230,Colembert,0,552
62231,Colline-Beaumont,0,501
62232,La Comté,0,471
62233,Conchil-le-Temple,0,47
62234,Conchy-sur-Canche,0,44
62235,Condette,0,637
62236,Contes,0,359
62237,Conteville-lès-Boulogne,0,566
62238,Conteville-en-Ternois,N/A - résultat non disponible,
62239,Coquelles,0,62
62240,Corbehem,0,511
62241,Cormont,0,466
62242,Couin,N/A - résultat non disponible,
62243,Coullemont,0,49
62244,Coulogne,0,453
62245,Coulomby,0,549
62246,Coupelle-Neuve,0,371
62247,Coupelle-Vieille,0,422
62248,Courcelles-le-Comte,0,489
62249,Courcelles-lès-Lens,0,321
62250,Courrières,0,393
62251,Courset,0,58
62252,La Couture,0,524
62253,Couturelle,N/A - résultat non disponible,
62254,Coyecques,0,447
62255,Crémarest,0,56
62256,Crépy,0,355
62257,Créquy,0,404
62258,Croisette,0,559
62259,Croisilles,0,44
62260,Croix-en-Ternois,0,496
62261,Cucq,0,502
62262,Cuinchy,0,419
62263,Dainville,0,605
62264,Dannes,0,444
62265,Delettes,0,47
62266,Denier,N/A - résultat non disponible,
62267,Dennebroeucq,0,402
62268,Desvres,0,394
62269,Diéval,0,365
62270,Divion,0,259
62271,Dohem,0,543
62272,Douchy-lès-Ayette,0,438
62273,Doudeauville,0,545
62274,Dourges,0,457
62275,Douriez,0,373
62276,Douvrin,0,399
62277,Drocourt,0,369
62278,Drouvin-le-Marais,0,526
62279,Duisans,0,711
62280,Dury,0,559
62281,Echinghen,0,588
62282,Éclimeux,0,34
62283,Écoivres,0,478
62284,Écourt-Saint-Quentin,0,432
62285,Écoust-Saint-Mein,0,537
62286,Ecquedecques,0,425
62288,Ecques,0,483
62289,Écuires,0,486
62290,Écurie,0,677
62291,Éleu-dit-Leauwette,0,326
62292,Elnes,0,512
62293,Embry,0,375
62295,Enquin-lez-Guinegatte,0,418
62296,Enquin-sur-Baillons,0,501
62297,Éperlecques,0,474
62298,Épinoy,0,498
62299,Eps,0,47
62300,Équihen-Plage,0,456
62301,Équirre,N/A - résultat non disponible,
62302,Ergny,0,488
62303,Érin,0,412
62304,Erny-Saint-Julien,0,386
62306,Ervillers,0,469
62307,Escalles,0,618
62308,Escoeuilles,0,503
62309,Esquerdes,0,54
62310,Essars,0,477
62311,Estevelles,0,452
62312,Estrée,0,495
62313,Estrée-Blanche,0,372
62314,Estrée-Cauchy,0,487
62315,Estréelles,0,52
62316,Estrée-Wamin,0,536
62317,Étaing,0,592
62318,Étaples,0,394
62319,Éterpigny,0,646
62320,Étrun,0,589
62321,Évin-Malmaison,0,339
62322,Famechon,0,551
62323,Fampoux,0,627
62324,Farbus,0,639
62325,Fauquembergues,0,339
62326,Favreuil,0,422
62327,Febvin-Palfart,0,389
62328,Ferfay,0,36
62329,Ferques,0,478
62330,Festubert,0,499
62331,Feuchy,0,565
62332,Ficheux,0,611
62333,Fiefs,0,46
62334,Fiennes,0,448
62335,Fillièvres,0,301
62336,Fléchin,0,355
62337,Flers,0,492
62338,Fleurbaix,0,639
62339,Fleury,0,452
62340,Floringhem,0,505
62341,Foncquevillers,0,585
62342,Fontaine-lès-Boulans,N/A - résultat non disponible,
62343,Fontaine-lès-Croisilles,0,527
62344,Fontaine-lès-Hermans,0,481
62345,Fontaine-l'Étalon,0,389
62346,Fortel-en-Artois,0,454
62347,Fosseux,0,48
62348,Foufflin-Ricametz,0,538
62349,Fouquereuil,0,416
62350,Fouquières-lès-Béthune,0,465
62351,Fouquières-lès-Lens,0,329
62352,Framecourt,N/A - résultat non disponible,
62353,Frémicourt,0,445
62354,Frencq,0,473
62355,Fresnes-lès-Montauban,0,626
62356,Fresnicourt-le-Dolmen,0,412
62357,Fresnoy,N/A - résultat non disponible,
62358,Fresnoy-en-Gohelle,0,659
62359,Fressin,0,41
62360,Fréthun,0,587
62361,Frévent,0,325
62362,Frévillers,0,484
62363,Frévin-Capelle,0,671
62364,Fruges,0,304
62365,Galametz,0,364
62366,Gauchin-Légal,0,442
62367,Gauchin-Verloingt,0,457
62368,Gaudiempré,0,489
62369,Gavrelle,0,635
62370,Gennes-Ivergny,0,399
62371,Givenchy-en-Gohelle,0,453
62372,Givenchy-le-Noble,0,547
62373,Givenchy-lès-la-Bassée,0,467
62374,Gomiécourt,0,417
62375,Gommecourt,N/A - résultat non disponible,
62376,Gonnehem,0,452
62377,Gosnay,0,296
62378,Gouves,0,665
62379,Gouy-en-Artois,0,545
62380,Gouy-Servins,0,498
62381,Gouy-en-Ternois,0,55
62382,Gouy-Saint-André,0,345
62383,Gouy-sous-Bellonne,0,603
62384,Graincourt-lès-Havrincourt,0,46
62385,Grand-Rullecourt,0,525
62386,Grenay,0,305
62387,Grévillers,0,445
62388,Grigny,0,304
62389,Grincourt-lès-Pas,N/A - résultat non disponible,
62390,Groffliers,0,503
62391,Guarbecque,0,466
62392,Guémappe,0,705
62393,Guemps,0,49
62395,Guigny,0,355
62396,Guinecourt,N/A - résultat non disponible,
62397,Guînes,0,384
62398,Guisy,0,39
62399,Habarcq,0,635
62400,Haillicourt,0,317
62401,Haisnes,0,376
62402,Halinghen,0,526
62403,Hallines,0,446
62404,Halloy,0,549
62405,Hamblain-les-Prés,0,562
62406,Hamelincourt,0,527
62407,Ham-en-Artois,0,459
62408,Hames-Boucres,0,603
62409,Hannescamps,0,594
62410,Haplincourt,0,422
62411,Haravesnes,N/A - résultat non disponible,
62412,Hardinghen,0,413
62413,Harnes,0,346
62414,Haucourt,0,546
62415,Haute-Avesnes,0,643
62416,Hautecloque,0,518
62418,Hauteville,0,594
62419,Haut-Loquin,0,507
62421,Havrincourt,0,472
62422,Hébuterne,0,525
62423,Helfaut,0,499
62424,Hendecourt-lès-Cagnicourt,0,511
62425,Hendecourt-lès-Ransart,0,558
62426,Héninel,0,6
62427,Hénin-Beaumont,0,295
62428,Hénin-sur-Cojeul,0,663
62429,Henneveux,0,483
62430,Hénu,0,451
62432,Herbinghen,0,462
62433,Héricourt,N/A - résultat non disponible,
62434,La Herlière,0,58
62435,Herlincourt,0,573
62436,Herlin-le-Sec,0,525
62437,Herly,0,421
62438,Hermaville,0,62
62439,Hermelinghen,0,49
62440,Hermies,0,397
62441,Hermin,0,47
62442,Hernicourt,0,508
62443,Hersin-Coupigny,0,351
62444,Hervelinghen,0,532
62445,Hesdigneul-lès-Béthune,0,427
62446,Hesdigneul-lès-Boulogne,0,529
62447,Hesdin,0,23
62448,Hesdin-l'Abbé,0,565
62449,Hesmond,0,352
62450,Hestrus,0,439
62451,Heuchin,0,421
62452,Heuringhem,0,504
62453,Hézecques,0,435
62454,Hinges,0,554
62455,Hocquinghen,0,439
62456,Houchin,0,442
62457,Houdain,0,342
62458,Houlle,0,498
62459,Houvin-Houvigneul,0,496
62460,Hubersent,0,485
62461,Huby-Saint-Leu,0,306
62462,Huclier,0,567
62463,Hucqueliers,0,485
62464,Hulluch,0,42
62465,Humbercamps,0,544
62466,Humbert,0,534
62467,Humeroeuille,0,519
62468,Humières,0,507
62469,Inchy-en-Artois,0,448
62470,Incourt,N/A - résultat non disponible,
62471,Bellinghem,0,447
62472,Inxent,0,52
62473,Isbergues,0,412
62474,Isques,0,534
62475,Ivergny,0,521
62476,Izel-lès-Équerchin,0,555
62477,Izel-lès-Hameau,0,643
62478,Journy,0,512
62479,Labeuvrière,0,575
62480,Labourse,0,418
62481,Labroye,0,314
62483,Lacres,0,577
62484,Lagnicourt-Marcel,0,408
62485,Laires,0,4
62486,Lambres,0,471
62487,Landrethun-le-Nord,0,487
62488,Landrethun-lès-Ardres,0,467
62489,Lapugnoy,0,517
62490,Lattre-Saint-Quentin,0,667
62491,Laventie,0,502
62492,Lebiez,0,37
62493,Lebucquière,0,452
62494,Léchelle,N/A - résultat non disponible,
62495,Ledinghem,0,498
62496,Lefaux,0,498
62497,Leforest,0,381
62498,Lens,0,283
62499,Lépine,0,437
62500,Lespesses,0,459
62501,Lespinoy,0,376
62502,Lestrem,0,475
62503,Leubringhen,0,647
62504,Leulinghem,0,612
62505,Leulinghen-Bernes,0,519
62506,Licques,0,395
62507,Liencourt,0,599
62508,Lières,0,398
62509,Liettres,0,504
62510,Liévin,0,249
62511,Lignereuil,0,604
62512,Ligny-lès-Aire,0,494
62513,Ligny-sur-Canche,0,475
62514,Ligny-Saint-Flochel,0,522
62515,Ligny-Thilloy,0,471
62516,Lillers,0,332
62517,Linghem,0,417
62518,Linzeux,0,488
62519,Lisbourg,0,405
62520,Locon,0,559
62521,La Loge,0,328
62522,Loison-sur-Créquoise,0,394
62523,Loison-sous-Lens,0,35
62524,Longfossé,0,482
62525,Longuenesse,0,403
62526,Longueville,0,462
62527,Longvilliers,0,472
62528,Loos-en-Gohelle,0,385
62529,Lorgies,0,553
62530,Lottinghen,0,486
62531,Louches,0,486
62532,Lozinghem,0,358
62533,Lugy,0,41
62534,Lumbres,0,492
62535,La Madelaine-sous-Montreuil,0,582
62536,Magnicourt-en-Comte,0,581
62537,Magnicourt-sur-Canche,0,526
62538,Maintenay,0,342
